mc	mn	quarterbeats	duration_qb	keysig	timesig	act_dur	mc_offset	numbering_offset	dont_count	barline	breaks	repeats	next
1	0	0	1.0	0	4/4	1/4	3/4	-1				firstMeasure	2
2	1	1	4.0	0	4/4	1	0						3
3	2	5	4.0	0	4/4	1	0						4
4	3	9	4.0	0	4/4	1	0						5
5	1229	13	3.0	0	4/4	3/4	0	1225					6
6	1230	16	1.0	0	4/4	1/4	3/4					start	7
7	6	17	4.0	0	4/4	1	0	-1225					8
8	7	21	4.0	0	4/4	1	0						9
9	8	25	4.0	0	4/4	1	0						10
10	1234	29	3.0	0	4/4	3/4	0	1225				end	6, 11
11	1235	32	1.0	0	4/4	1/4	3/4					start	12
12	11	33	4.0	0	4/4	1	0	-1225					13
13	1237	37	3.0	0	4/4	3/4	0	1225				end	11, 14
14	1238	40	1.0	0	4/4	1/4	3/4						15
15	14	41	4.0	0	4/4	1	0	-1225					16
16	15	45	4.0	0	4/4	1	0						17
17	1241	49	3.0	0	4/4	3/4	0	1225					18
18	1242	52	1.0	0	4/4	1/4	3/4					start	19
19	18	53	4.0	0	4/4	1	0	-1225					20
20	19	57	4.0	0	4/4	1	0						21
21	20	61	4.0	0	4/4	1	0						22
22	1246	65	3.0	0	4/4	3/4	0	1225				end	18, 23
23	1247	68	1.0	0	4/4	1/4	3/4					start	24
24	23	69	4.0	0	4/4	1	0	-1225					25
25	24	73	4.0	0	4/4	1	0						26
26	25	77	4.0	0	4/4	1	0						27
27	1251	81	3.0	0	4/4	3/4	0	1225				end	23, 28
28	1252	84	1.0	0	4/4	1/4	3/4						29
29	28	85	4.0	0	4/4	1	0	-1225					30
30	29	89	4.0	0	4/4	1	0						31
31	30	93	4.0	0	4/4	1	0						32
32	31	97	4.0	0	4/4	1	0						33
33	32	101	4.0	0	4/4	1	0						34
34	33	105	4.0	0	4/4	1	0						35
35	34	109	4.0	0	4/4	1	0						36
36	35	113	4.0	0	4/4	1	0						37
37	36	117	4.0	0	4/4	1	0						38
38	37	121	4.0	0	4/4	1	0						39
39	38	125	4.0	0	4/4	1	0						40
40	39	129	4.0	0	4/4	1	0						41
41	40	133	4.0	0	4/4	1	0						42
42	41	137	4.0	0	4/4	1	0						43
43	42	141	4.0	0	4/4	1	0						44
44	1268	145	3.0	0	4/4	3/4	0	1225					45
45	1269	148	1.0	0	4/4	1/4	3/4					start	46
46	45	149	4.0	0	4/4	1	0	-1225					47
47	46	153	4.0	0	4/4	1	0						48
48	47	157	4.0	0	4/4	1	0						49
49	1273	161	3.0	0	4/4	3/4	0	1225				end	45, 50
50	1274	164	1.0	0	4/4	1/4	3/4						51
51	50	165	4.0	0	4/4	1	0	-1225					52
52	51	169	4.0	0	4/4	1	0						53
53	52	173	4.0	0	4/4	1	0						54
54	53	177	4.0	0	4/4	1	0						55
55	54	181	4.0	0	4/4	1	0						56
56	55	185	4.0	0	4/4	1	0						57
57	56	189	4.0	0	4/4	1	0			end		lastMeasure	-1
