mc	mn	quarterbeats	duration_qb	keysig	timesig	act_dur	mc_offset	numbering_offset	dont_count	barline	breaks	repeats	next
1	0	0	1.0	0	4/4	1/4	3/4	-1				firstMeasure	2
2	1	1	2.0	0	4/4	1/2	0						3
3	189	3	2.0	0	4/4	1/2	1/2	187				start	4
4	3	5	4.0	0	4/4	1	0	-187					5
5	4	9	4.0	0	4/4	1	0						6
6	5	13	4.0	0	4/4	1	0						7
7	193	17	3.0	0	4/4	3/4	0	187					8
8	194	20	1.0	0	4/4	1/4	3/4						9
9	195	21	2.0	0	4/4	1/2	0					end	3, 10
10	196	23	1.0	0	4/4	1/4	0						11
11	197	24	2.0	0	4/4	1/2	0						12
12	198	26	2.0	0	4/4	1/2	1/2						13
13	12	28	4.0	0	4/4	1	0	-187					14
14	13	32	4.0	0	4/4	1	0						15
15	14	36	4.0	0	4/4	1	0						16
16	15	40	4.0	0	4/4	1	0						17
17	16	44	4.0	0	4/4	1	0						18
18	17	48	3.0	0	4/4	3/4	0			end		lastMeasure	-1
