mc	mn	quarterbeats	duration_qb	keysig	timesig	act_dur	mc_offset	numbering_offset	dont_count	barline	breaks	repeats	next
1	1	0	5.0	0	4/4	5/4	0					firstMeasure	2
2	2	5	4.0	0	4/4	1	0						3
3	3	9	4.0	0	4/4	1	0						4
4	4	13	5.0	0	4/4	5/4	0						5
5	5	18	4.0	0	4/4	1	0						6
6	6	22	4.0	0	4/4	1	0					end	1, 7
7	7	26	4.0	0	4/4	1	0					start	8
8	8	30	4.0	0	4/4	1	0						9
9	9	34	4.0	0	4/4	1	0					end	7, 10
10	10	38	4.0	0	4/4	1	0						11
11	11	42	4.0	0	4/4	1	0						12
12	12	46	4.0	0	4/4	1	0						13
13	13	50	4.0	0	4/4	1	0			end		lastMeasure	-1
