mc	mn	quarterbeats	duration_qb	keysig	timesig	act_dur	mc_offset	numbering_offset	dont_count	barline	breaks	repeats	next
1	0	0	1.0	0	4/4	1/4	3/4	-1				firstMeasure	2
2	1	1	4.0	0	4/4	1	0						3
3	2	5	4.0	0	4/4	1	0						4
4	3	9	4.0	0	4/4	1	0						5
5	4	13	4.0	0	4/4	1	0						6
6	5	17	4.0	0	4/4	1	0						7
7	6	21	4.0	0	4/4	1	0						8
8	7	25	4.0	0	4/4	1	0						9
9	1299	29	3.0	0	4/4	3/4	0	1291				end	1, 10
10	1300	32	1.0	0	4/4	1/4	3/4					start	11
11	10	33	4.0	0	4/4	1	0	-1291					12
12	1302	37	3.0	0	4/4	3/4	0	1291				end	10, 13
13	1303	40	1.0	0	4/4	1/4	3/4					start	14
14	13	41	4.0	0	4/4	1	0	-1291					15
15	14	45	4.0	0	4/4	1	0						16
16	15	49	4.0	0	4/4	1	0						17
17	1307	53	3.0	0	4/4	3/4	0	1291				end	13, 18
18	1308	56	1.0	0	4/4	1/4	3/4						19
19	18	57	4.0	0	4/4	1	0	-1291					20
20	19	61	4.0	0	4/4	1	0						21
21	20	65	4.0	0	4/4	1	0						22
22	21	69	3.0	0	4/4	3/4	0			end		lastMeasure	-1
