mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
1	0	0	1.0	0	3/4	4/4	2	2	1/4	1/4	1		1	43	G2	2	5
1	0	0	0.5	0	3/4	4/4	2	1	1/8	1/8	1		-2	58	Bb3	3	3
1	0	0	1.0	0	3/4	4/4	1	2	1/4	1/4	1		2	62	D4	4	2
1	0	0	0.5	0	3/4	4/4	1	1	1/8	1/8	1		1	67	G4	4	0
1	0	1/2	0.5	1/8	7/8	4/4	2	1	1/8	1/8	1		0	60	C4	4	4
1	0	1/2	0.5	1/8	7/8	4/4	1	1	1/8	1/8	1		3	69	A4	4	1
2	1	1	0.5	0	0	4/4	2	2	1/8	1/8	1		1	55	G3	3	18
2	1	1	1.0	0	0	4/4	2	1	1/4	1/4	1		2	62	D4	4	14
2	1	1	1.0	0	0	4/4	1	2	1/4	1/4	1		1	67	G4	4	10
2	1	1	1.0	0	0	4/4	1	1	1/4	1/4	1		-2	70	Bb4	4	6
2	1	3/2	0.5	1/8	1/8	4/4	2	2	1/8	1/8	1		-4	56	Ab3	3	19
2	1	2	0.5	1/4	1/4	4/4	2	2	1/8	1/8	1		1	55	G3	3	20
2	1	2	1.0	1/4	1/4	4/4	2	1	1/4	1/4	1		2	62	D4	4	15
2	1	2	1.0	1/4	1/4	4/4	1	2	1/4	1/4	1		1	67	G4	4	11
2	1	2	1.0	1/4	1/4	4/4	1	1	1/4	1/4	1		5	71	B4	4	7
2	1	5/2	0.5	3/8	3/8	4/4	2	2	1/8	1/8	1		-1	53	F3	3	21
2	1	3	0.5	1/2	1/2	4/4	2	2	1/8	1/8	1		-3	51	Eb3	3	22
2	1	3	1.0	1/2	1/2	4/4	2	1	1/4	1/4	1		-3	63	Eb4	4	16
2	1	3	1.0	1/2	1/2	4/4	1	2	1/4	1/4	1		1	67	G4	4	12
2	1	3	1.0	1/2	1/2	4/4	1	1	1/4	1/4	1		0	72	C5	5	8
2	1	7/2	0.5	5/8	5/8	4/4	2	2	1/8	1/8	1		2	50	D3	3	23
2	1	4	0.5	3/4	3/4	4/4	2	2	1/8	1/8	1		0	48	C3	3	24
2	1	4	1.0	3/4	3/4	4/4	2	1	1/4	1/4	1		2	62	D4	4	17
2	1	4	1.0	3/4	3/4	4/4	1	2	1/4	1/4	1		1	67	G4	4	13
2	1	4	1.0	3/4	3/4	4/4	1	1	1/4	1/4	1		2	74	D5	5	9
2	1	9/2	0.5	7/8	7/8	4/4	2	2	1/8	1/8	1		5	47	B2	2	25
3	2	5	0.5	0	0	4/4	2	2	1/8	1/8	1		0	48	C3	3	40
3	2	5	0.5	0	0	4/4	2	1	1/8	1/8	1		1	55	G3	3	35
3	2	5	1.0	0	0	4/4	1	2	1/4	1/4	1		-3	63	Eb4	4	30
3	2	5	1.0	0	0	4/4	1	1	1/4	1/4	1		0	72	C5	5	26
3	2	11/2	0.5	1/8	1/8	4/4	2	2	1/8	1/8	1		-3	51	Eb3	3	41
3	2	11/2	1.0	1/8	1/8	4/4	2	1	1/4	1/4	1		1	67	G4	4	36
3	2	6	0.5	1/4	1/4	4/4	2	2	1/8	1/8	1		1	55	G3	3	42
3	2	6	1.0	1/4	1/4	4/4	1	2	1/4	1/4	1		2	62	D4	4	31
3	2	6	1.0	1/4	1/4	4/4	1	1	1/4	1/4	1		5	71	B4	4	27
3	2	13/2	0.5	3/8	3/8	4/4	2	2	1/8	1/8	1		1	43	G2	2	43
3	2	13/2	0.5	3/8	3/8	4/4	2	1	1/8	1/8	1		-1	65	F4	4	37
3	2	7	1.0	1/2	1/2	4/4	2	2	1/4	1/4	1		0	48	C3	3	44
3	2	7	1.0	1/2	1/2	4/4	1	2	1/4	1/4	1		0	60	C4	4	32
3	2	7	1.0	1/2	1/2	4/4	2	1	1/4	1/4	1		-3	63	Eb4	4	38
3	2	7	1.0	1/2	1/2	4/4	1	1	1/4	1/4	1		0	72	C5	5	28
3	2	8	1.0	3/4	3/4	4/4	2	2	1/4	1/4	1		0	48	C3	3	45
3	2	8	1.0	3/4	3/4	4/4	2	1	1/4	1/4	1		-3	63	Eb4	4	39
3	2	8	0.5	3/4	3/4	4/4	1	2	1/8	1/8	1		1	67	G4	4	33
3	2	8	1.0	3/4	3/4	4/4	1	1	1/4	1/4	1		0	72	C5	5	29
3	2	17/2	0.5	7/8	7/8	4/4	1	2	1/8	1/8	1		3	69	A4	4	34
4	3	9	1.0	0	0	4/4	2	2	1/4	1/4	1		2	50	D3	3	66
4	3	9	1.0	0	0	4/4	2	1	1/4	1/4	1		-1	65	F4	4	60
4	3	9	0.5	0	0	4/4	1	1	1/8	1/8	1		-2	70	Bb4	4	46
4	3	9	0.5	0	0	4/4	1	2	1/8	1/8	1		-2	70	Bb4	4	53
4	3	19/2	1.0	1/8	1/8	4/4	1	2	1/4	1/4	1		-2	58	Bb3	3	54
4	3	19/2	0.5	1/8	1/8	4/4	1	1	1/8	1/8	1		3	69	A4	4	47
4	3	10	1.0	1/4	1/4	4/4	2	2	1/4	1/4	1		-3	51	Eb3	3	67
4	3	10	0.5	1/4	1/4	4/4	1	1	1/8	1/8	1		1	67	G4	4	48
4	3	10	1.0	1/4	1/4	4/4	2	1	1/4	1/4	1		1	67	G4	4	61
4	3	21/2	0.5	3/8	3/8	4/4	1	2	1/8	1/8	1		0	60	C4	4	55
4	3	21/2	0.5	3/8	3/8	4/4	1	1	1/8	1/8	1		3	69	A4	4	49
4	3	11	0.5	1/2	1/2	4/4	2	2	1/8	1/8	1		2	50	D3	3	68
4	3	11	0.5	1/2	1/2	4/4	1	2	1/8	1/8	1		2	62	D4	4	56
4	3	11	0.5	1/2	1/2	4/4	2	1	1/8	1/8	1		-1	65	F4	4	62
4	3	11	0.5	1/2	1/2	4/4	1	1	1/8	1/8	1		-2	70	Bb4	4	50
4	3	23/2	0.5	5/8	5/8	4/4	2	2	1/8	1/8	1		0	48	C3	3	69
4	3	23/2	0.5	5/8	5/8	4/4	1	2	1/8	1/8	1		-3	63	Eb4	4	57
4	3	23/2	0.5	5/8	5/8	4/4	2	1	1/8	1/8	1		-3	63	Eb4	4	63
4	3	23/2	0.5	5/8	5/8	4/4	1	1	1/8	1/8	1		0	72	C5	5	51
4	3	12	0.5	3/4	3/4	4/4	2	2	1/8	1/8	1		-2	46	Bb2	2	70
4	3	12	0.5	3/4	3/4	4/4	2	1	1/8	1/8	1		2	62	D4	4	64
4	3	12	0.5	3/4	3/4	4/4	1	2	1/8	1/8	1		-1	65	F4	4	58
4	3	12	1.0	3/4	3/4	4/4	1	1	1/4	1/4	1		2	74	D5	5	52
4	3	25/2	0.5	7/8	7/8	4/4	2	2	1/8	1/8	1		-3	51	Eb3	3	71
4	3	25/2	0.5	7/8	7/8	4/4	2	1	1/8	1/8	1		-2	58	Bb3	3	65
4	3	25/2	0.5	7/8	7/8	4/4	1	2	1/8	1/8	1		1	67	G4	4	59
5	876	13	0.5	0	0	4/4	2	2	1/8	1/8	1		-3	51	Eb3	3	85
5	876	13	1.0	0	0	4/4	2	1	1/4	1/4	1		-1	65	F4	4	80
5	876	13	0.5	0	0	4/4	1	2	1/8	1/8	1		3	69	A4	4	76
5	876	13	0.5	0	0	4/4	1	1	1/8	1/8	1		0	72	C5	5	72
5	876	27/2	0.5	1/8	1/8	4/4	2	2	1/8	1/8	1		2	50	D3	3	86
5	876	27/2	0.5	1/8	1/8	4/4	1	1	1/8	1/8	1		-2	70	Bb4	4	73
