mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
1	0	0	0	1.0	0	3/4	4/4	2	2	1/4	1/4	1		6	54	F#3	3	3
1	0	0	0	1.0	0	3/4	4/4	2	1	1/4	1/4	1		10	58	A#3	3	2
1	0	0	0	1.0	0	3/4	4/4	1	2	1/4	1/4	1		6	66	F#4	4	1
1	0	0	0	1.0	0	3/4	4/4	1	1	1/4	1/4	1		7	73	C#5	5	0
2	1	1	1	1.0	0	0	4/4	2	2	1/4	1/4	1		5	47	B2	2	19
2	1	1	1	1.0	0	0	4/4	2	1	1/4	1/4	1		5	59	B3	3	14
2	1	1	1	1.0	0	0	4/4	1	2	1/4	1/4	1		6	66	F#4	4	9
2	1	1	1	1.0	0	0	4/4	1	1	1/4	1/4	1		2	74	D5	5	4
2	1	2	2	1.0	1/4	1/4	4/4	2	2	1/4	1/4	1		6	54	F#3	3	20
2	1	2	2	1.0	1/4	1/4	4/4	2	1	1/4	1/4	1		10	58	A#3	3	15
2	1	2	2	0.5	1/4	1/4	4/4	1	2	1/8	1/8	1		6	66	F#4	4	10
2	1	2	2	1.0	1/4	1/4	4/4	1	1	1/4	1/4	1		7	73	C#5	5	5
2	1	5/2	5/2	0.5	3/8	3/8	4/4	1	2	1/8	1/8	1		4	64	E4	4	11
2	1	3	3	1.0	1/2	1/2	4/4	2	2	1/4	1/4	1		1	55	G3	3	21
2	1	3	3	1.0	1/2	1/2	4/4	2	1	1/4	1/4	1		5	59	B3	3	16
2	1	3	3	1.0	1/2	1/2	4/4	1	2	1/4	1/4	1		2	62	D4	4	12
2	1	3	3	1.0	1/2	1/2	4/4	1	1	1/4	1/4	1		5	71	B4	4	6
2	1	4	4	1.0	3/4	3/4	4/4	2	2	1/4	1/4	1		6	54	F#3	3	22
2	1	4	4	0.5	3/4	3/4	4/4	2	1	1/8	1/8	1		3	57	A3	3	17
2	1	4	4	1.0	3/4	3/4	4/4	1	2	1/4	1/4	1		3	69	A4	4	13
2	1	4	4	0.5	3/4	3/4	4/4	1	1	1/8	1/8	1		7	73	C#5	5	7
2	1	9/2	9/2	0.5	7/8	7/8	4/4	2	1	1/8	1/8	1		5	59	B3	3	18
2	1	9/2	9/2	0.5	7/8	7/8	4/4	1	1	1/8	1/8	1		2	74	D5	5	8
3	2	5	5	1.0	0	0	4/4	2	2	1/4	1/4	1		4	52	E3	3	37
3	2	5	5	1.0	0	0	4/4	2	1	1/4	1/4	1		7	61	C#4	4	32
3	2	5	5	1.0	0	0	4/4	1	2	1/4	1/4	1		1	67	G4	4	27
3	2	5	5	1.0	0	0	4/4	1	1	1/4	1/4	1		4	76	E5	5	23
3	2	6	6	1.0	1/4	1/4	4/4	2	2	1/4	1/4	1		2	50	D3	3	38
3	2	6	6	1.0	1/4	1/4	4/4	2	1	1/4	1/4	1		2	62	D4	4	33
3	2	6	6	0.5	1/4	1/4	4/4	1	2	1/8	1/8	1		6	66	F#4	4	28
3	2	6	6	1.0	1/4	1/4	4/4	1	1	1/4	1/4	1		6	78	F#5	5	24
3	2	13/2	13/2	0.5	3/8	3/8	4/4	1	2	1/8	1/8	1		8	68	G#4	4	29
3	2	7	7	1.0	1/2	1/2	4/4	2	2	1/4	1/4	1		7	49	C#3	3	39
3	2	7	7	0.5	1/2	1/2	4/4	2	1	1/8	1/8	1		4	64	E4	4	34
3	2	7	7	1.0	1/2	1/2	4/4	1	2	1/4	1/4	1		3	69	A4	4	30
3	2	7	7	1.0	1/2	1/2	4/4	1	1	1/4	1/4	1		4	76	E5	5	25
3	2	15/2	15/2	0.5	5/8	5/8	4/4	2	1	1/8	1/8	1		6	66	F#4	4	35
3	2	8	8	1.0	3/4	3/4	4/4	2	2	1/4	1/4	1		5	47	B2	2	40
3	2	8	8	1.0	3/4	3/4	4/4	2	1	1/4	1/4	1		8	68	G#4	4	36
3	2	8	8	1.0	3/4	3/4	4/4	1	2	1/4	1/4	1		5	71	B4	4	31
3	2	8	8	1.0	3/4	3/4	4/4	1	1	1/4	1/4	1		2	74	D5	5	26
4	3	9	9	2.0	0	0	4/4	2	2	1/2	1/2	1		3	45	A2	2	47
4	3	9	9	2.0	0	0	4/4	2	1	1/2	1/2	1		7	61	C#4	4	45
4	3	9	9	2.0	0	0	4/4	1	2	1/2	1/2	1		4	64	E4	4	43
4	3	9	9	2.0	0	0	4/4	1	1	1/2	1/2	1		7	73	C#5	5	41
4	3	12	12	1.0	3/4	3/4	4/4	2	2	1/4	1/4	1		10	46	A#2	2	48
4	3	12	12	1.0	3/4	3/4	4/4	2	1	1/4	1/4	1		7	61	C#4	4	46
4	3	12	12	1.0	3/4	3/4	4/4	1	2	1/4	1/4	1		6	66	F#4	4	44
4	3	12	12	1.0	3/4	3/4	4/4	1	1	1/4	1/4	1		4	76	E5	5	42
5	4	13	13	1.0	0	0	4/4	2	2	1/4	1/4	1		5	47	B2	2	64
5	4	13	13	0.5	0	0	4/4	2	1	1/8	1/8	1		5	59	B3	3	58
5	4	13	13	1.0	0	0	4/4	1	2	1/4	1/4	1		6	66	F#4	4	53
5	4	13	13	1.0	0	0	4/4	1	1	1/4	1/4	1		2	74	D5	5	49
5	4	27/2	27/2	0.5	1/8	1/8	4/4	2	1	1/8	1/8	1		3	57	A3	3	59
5	4	14	14	1.0	1/4	1/4	4/4	2	2	1/4	1/4	1		4	52	E3	3	65
5	4	14	14	1.0	1/4	1/4	4/4	2	1	1/4	1/4	1		1	55	G3	3	60
5	4	14	14	1.0	1/4	1/4	4/4	1	2	1/4	1/4	1		4	64	E4	4	54
5	4	14	14	1.0	1/4	1/4	4/4	1	1	1/4	1/4	1		7	73	C#5	5	50
5	4	15	15	1.0	1/2	1/2	4/4	2	2	1/4	1/4	1		2	50	D3	3	66
5	4	15	15	1.0	1/2	1/2	4/4	2	1	1/4	1/4	1		3	57	A3	3	61
5	4	15	15	1.0	1/2	1/2	4/4	1	2	1/4	1/4	1		6	66	F#4	4	55
5	4	15	15	1.0	1/2	1/2	4/4	1	1	1/4	1/4	1		2	74	D5	5	51
5	4	16	16	1.0	3/4	3/4	4/4	2	2	1/4	1/4	1		1	55	G3	3	67
5	4	16	16	0.5	3/4	3/4	4/4	2	1	1/8	1/8	1		5	59	B3	3	62
5	4	16	16	0.5	3/4	3/4	4/4	1	2	1/8	1/8	1		2	62	D4	4	56
5	4	16	16	1.0	3/4	3/4	4/4	1	1	1/4	1/4	1		5	71	B4	4	52
5	4	33/2	33/2	0.5	7/8	7/8	4/4	2	1	1/8	1/8	1		7	61	C#4	4	63
5	4	33/2	33/2	0.5	7/8	7/8	4/4	1	2	1/8	1/8	1		4	64	E4	4	57
6	5	17	17	1.0	0	0	4/4	2	2	1/4	1/4	1		6	54	F#3	3	79
6	5	17	17	2.0	0	0	4/4	2	1	1/2	1/2	1		2	62	D4	4	76
6	5	17	17	2.0	0	0	4/4	1	2	1/2	1/2	1		6	66	F#4	4	73
6	5	17	17	1.0	0	0	4/4	1	1	1/4	1/4	1		3	69	A4	4	68
6	5	18	18	1.0	1/4	1/4	4/4	2	2	1/4	1/4	1		5	59	B3	3	80
6	5	18	18	0.5	1/4	1/4	4/4	1	1	1/8	1/8	1		6	66	F#4	4	69
6	5	37/2	37/2	0.5	3/8	3/8	4/4	1	1	1/8	1/8	1		1	67	G4	4	70
6	5	19	19	1.0	1/2	1/2	4/4	2	2	1/4	1/4	1		3	57	A3	3	81
6	5	19	19	1.0	1/2	1/2	4/4	2	1	1/4	1/4	1		2	62	D4	4	77
6	5	19	19	1.0	1/2	1/2	4/4	1	2	1/4	1/4	1		6	66	F#4	4	74
6	5	19	19	1.0	1/2	1/2	4/4	1	1	1/4	1/4	1		3	69	A4	4	71
6	5	20	20	1.0	3/4	3/4	4/4	2	2	1/4	1/4	1		3	45	A2	2	82
6	5	20	20	1.0	3/4	3/4	4/4	2	1	1/4	1/4	1		3	57	A3	3	78
6	5	20	20	1.0	3/4	3/4	4/4	1	2	1/4	1/4	1		4	64	E4	4	75
6	5	20	20	1.0	3/4	3/4	4/4	1	1	1/4	1/4	1		1	67	G4	4	72
7	6	21	21	3.0	0	0	4/4	2	2	3/4	1/2	3/2		2	50	D3	3	89
7	6	21	21	3.0	0	0	4/4	2	1	3/4	1/2	3/2		3	57	A3	3	87
7	6	21	21	3.0	0	0	4/4	1	2	3/4	1/2	3/2		2	62	D4	4	85
7	6	21	21	3.0	0	0	4/4	1	1	3/4	1/2	3/2		6	66	F#4	4	83
7	6	24	24	1.0	3/4	3/4	4/4	2	2	1/4	1/4	1		7	49	C#3	3	90
7	6	24	24	1.0	3/4	3/4	4/4	2	1	1/4	1/4	1		10	58	A#3	3	88
7	6	24	24	1.0	3/4	3/4	4/4	1	2	1/4	1/4	1		4	64	E4	4	86
7	6	24	24	1.0	3/4	3/4	4/4	1	1	1/4	1/4	1		7	73	C#5	5	84
8	7	25	25	3.0	0	0	4/4	2	2	3/4	1/2	3/2		2	50	D3	3	97
8	7	25	25	3.0	0	0	4/4	2	1	3/4	1/2	3/2		3	57	A3	3	95
8	7	25	25	3.0	0	0	4/4	1	2	3/4	1/2	3/2		2	62	D4	4	93
8	7	25	25	3.0	0	0	4/4	1	1	3/4	1/2	3/2		6	66	F#4	4	91
8	7	28	28	1.0	3/4	3/4	4/4	2	2	1/4	1/4	1		2	50	D3	3	98
8	7	28	28	1.0	3/4	3/4	4/4	2	1	1/4	1/4	1		3	57	A3	3	96
8	7	28	28	1.0	3/4	3/4	4/4	1	2	1/4	1/4	1		6	66	F#4	4	94
8	7	28	28	1.0	3/4	3/4	4/4	1	1	1/4	1/4	1		3	69	A4	4	92
9	8	29	29	0.5	0	0	4/4	2	2	1/8	1/8	1		2	50	D3	3	112
9	8	29	29	1.0	0	0	4/4	2	1	1/4	1/4	1		3	57	A3	3	108
9	8	29	29	1.0	0	0	4/4	1	2	1/4	1/4	1		4	64	E4	4	103
9	8	29	29	1.0	0	0	4/4	1	1	1/4	1/4	1		1	67	G4	4	99
9	8	59/2	59/2	0.5	1/8	1/8	4/4	2	2	1/8	1/8	1		7	49	C#3	3	113
9	8	30	30	1.0	1/4	1/4	4/4	2	2	1/4	1/4	1		2	50	D3	3	114
9	8	30	30	1.0	1/4	1/4	4/4	2	1	1/4	1/4	1		3	57	A3	3	109
9	8	30	30	1.0	1/4	1/4	4/4	1	2	1/4	1/4	1		2	62	D4	4	104
9	8	30	30	1.0	1/4	1/4	4/4	1	1	1/4	1/4	1		6	66	F#4	4	100
9	8	31	31	1.0	1/2	1/2	4/4	2	2	1/4	1/4	1		3	45	A2	2	115
9	8	31	31	1.0	1/2	1/2	4/4	2	1	1/4	1/4	1		3	57	A3	3	110
9	8	31	31	0.5	1/2	1/2	4/4	1	2	1/8	1/8	1		2	62	D4	4	105
9	8	31	31	1.0	1/2	1/2	4/4	1	1	1/4	1/4	1		4	64	E4	4	101
9	8	63/2	63/2	0.5	5/8	5/8	4/4	1	2	1/8	1/8	1		7	61	C#4	4	106
9	8	32	32	0.5	3/4	3/4	4/4	2	2	1/8	1/8	1		2	50	D3	3	116
9	8	32	32	1.0	3/4	3/4	4/4	2	1	1/4	1/4	1		3	57	A3	3	111
9	8	32	32	1.0	3/4	3/4	4/4	1	2	1/4	1/4	1		2	62	D4	4	107
9	8	32	32	1.0	3/4	3/4	4/4	1	1	1/4	1/4	1		6	66	F#4	4	102
9	8	65/2	65/2	0.5	7/8	7/8	4/4	2	2	1/8	1/8	1		4	52	E3	3	117
10	9	33	33	1.0	0	0	4/4	2	2	1/4	1/4	1		6	54	F#3	3	131
10	9	33	33	1.0	0	0	4/4	2	1	1/4	1/4	1		3	57	A3	3	126
10	9	33	33	1.0	0	0	4/4	1	1	1/4	1/4	1		2	62	D4	4	118
10	9	33	33	1.0	0	0	4/4	1	2	1/4	1/4	1		2	62	D4	4	122
10	9	34	34	1.0	1/4	1/4	4/4	2	2	1/4	1/4	1		4	52	E3	3	132
