mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
1	0	0	1.0	0	1/2	3/4	2	1	1/4		1/4	1		-2	58	Bb3	3	2
1	0	0	1.0	0	1/2	3/4	2	2	1/4		1/4	1		-2	58	Bb3	3	3
1	0	0	1.0	0	1/2	3/4	1	2	1/4		1/4	1		2	62	D4	4	1
1	0	0	1.0	0	1/2	3/4	1	1	1/4		1/4	1		-1	65	F4	4	0
2	1	1	1.0	0	0	3/4	2	2	1/4		1/4	1		2	50	D3	3	17
2	1	1	1.0	0	0	3/4	2	1	1/4		1/4	1		-2	58	Bb3	3	13
2	1	1	1.0	0	0	3/4	1	2	1/4		1/4	1		-1	65	F4	4	9
2	1	1	1.0	0	0	3/4	1	1	1/4		1/4	1		-2	70	Bb4	4	4
2	1	2	1.0	1/4	1/4	3/4	2	2	1/4		1/4	1		0	48	C3	3	18
2	1	2	0.5	1/4	1/4	3/4	2	1	1/8		1/8	1		-1	65	F4	4	14
2	1	2	0.5	1/4	1/4	3/4	1	2	1/8		1/8	1		-2	70	Bb4	4	10
2	1	2	0.5	1/4	1/4	3/4	1	1	1/8		1/8	1		2	74	D5	5	5
2	1	5/2	0.5	3/8	3/8	3/4	2	1	1/8		1/8	1		-3	63	Eb4	4	15
2	1	5/2	0.5	3/8	3/8	3/4	1	2	1/8		1/8	1		3	69	A4	4	11
2	1	5/2	0.5	3/8	3/8	3/4	1	1	1/8		1/8	1		0	72	C5	5	6
2	1	3	1.0	1/2	1/2	3/4	2	2	1/4		1/4	1		-2	46	Bb2	2	19
2	1	3	1.0	1/2	1/2	3/4	2	1	1/4		1/4	1		-1	65	F4	4	16
2	1	3	1.0	1/2	1/2	3/4	1	2	1/4		1/4	1		-2	70	Bb4	4	12
2	1	3	0.5	1/2	1/2	3/4	1	1	1/8		1/8	1		2	74	D5	5	7
2	1	7/2	0.5	5/8	5/8	3/4	1	1	1/8		1/8	1		-2	70	Bb4	4	8
3	2	4	1.0	0	0	3/4	2	2	1/4		1/4	1		-3	51	Eb3	3	29
3	2	4	1.0	0	0	3/4	2	1	1/4		1/4	1		-3	63	Eb4	4	24
3	2	4	1.0	0	0	3/4	1	2	1/4		1/4	1		-2	70	Bb4	4	22
3	2	4	1.0	0	0	3/4	1	1	1/4		1/4	1		1	79	G5	5	20
3	2	5	0.5	1/4	1/4	3/4	2	2	1/8		1/8	1		1	55	G3	3	30
3	2	5	0.5	1/4	1/4	3/4	2	1	1/8		1/8	1		-2	58	Bb3	3	25
3	2	5	2.0	1/4	1/4	3/4	1	2	1/2		1/2	1		1	67	G4	4	23
3	2	5	2.0	1/4	1/4	3/4	1	1	1/2		1/2	1		-3	75	Eb5	5	21
3	2	11/2	0.5	3/8	3/8	3/4	2	2	1/8		1/8	1		-1	53	F3	3	31
3	2	11/2	0.5	3/8	3/8	3/4	2	1	1/8		1/8	1		3	57	A3	3	26
3	2	6	0.5	1/2	1/2	3/4	2	2	1/8		1/8	1		1	55	G3	3	32
3	2	6	0.5	1/2	1/2	3/4	2	1	1/8		1/8	1		-2	58	Bb3	3	27
3	2	13/2	0.5	5/8	5/8	3/4	2	2	1/8		1/8	1		-3	51	Eb3	3	33
3	2	13/2	0.5	5/8	5/8	3/4	2	1	1/8		1/8	1		0	60	C4	4	28
4	3	7	0.5	0	0	3/4	2	2	1/8		1/8	1		-2	58	Bb3	3	43
4	3	7	2.0	0	0	3/4	2	1	1/2		1/2	1		2	62	D4	4	41
