mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
1	0	0	0	1.0	0	3/4	4/4	2	2	1/4	1/4	1		4	52	E3	3	4
1	0	0	0	0.5	0	3/4	4/4	2	1	1/8	1/8	1		4	64	E4	4	2
1	0	0	0	1.0	0	3/4	4/4	1	2	1/4	1/4	1		1	67	G4	4	1
1	0	0	0	1.0	0	3/4	4/4	1	1	1/4	1/4	1		5	71	B4	4	0
1	0	1/2	1/2	0.5	1/8	7/8	4/4	2	1	1/8	1/8	1		2	62	D4	4	3
2	1	1	1	0.5	0	0	4/4	2	2	1/8	1/8	1		6	54	F#3	3	20
2	1	1	1	1.0	0	0	4/4	2	1	1/4	1/4	1		7	61	C#4	4	15
2	1	1	1	1.0	0	0	4/4	1	2	1/4	1/4	1		6	66	F#4	4	10
2	1	1	1	1.0	0	0	4/4	1	1	1/4	1/4	1		10	70	A#4	4	5
2	1	3/2	3/2	0.5	1/8	1/8	4/4	2	2	1/8	1/8	1		4	52	E3	3	21
2	1	2	2	0.5	1/4	1/4	4/4	2	2	1/8	1/8	1		2	50	D3	3	22
2	1	2	2	0.5	1/4	1/4	4/4	2	1	1/8	1/8	1		2	62	D4	4	16
2	1	2	2	0.5	1/4	1/4	4/4	1	2	1/8	1/8	1		6	66	F#4	4	11
2	1	2	2	0.5	1/4	1/4	4/4	1	1	1/8	1/8	1		5	71	B4	4	6
2	1	5/2	5/2	0.5	3/8	3/8	4/4	2	2	1/8	1/8	1		7	49	C#3	3	23
2	1	5/2	5/2	0.5	3/8	3/8	4/4	2	1	1/8	1/8	1		4	64	E4	4	17
2	1	5/2	5/2	0.5	3/8	3/8	4/4	1	2	1/8	1/8	1		10	70	A#4	4	12
2	1	5/2	5/2	0.5	3/8	3/8	4/4	1	1	1/8	1/8	1		7	73	C#5	5	7
2	1	3	3	1.0	1/2	1/2	4/4	2	2	1/4	1/4	1		5	47	B2	2	24
2	1	3	3	1.0	1/2	1/2	4/4	2	1	1/4	1/4	1		6	66	F#4	4	18
2	1	3	3	1.0	1/2	1/2	4/4	1	2	1/4	1/4	1		5	71	B4	4	13
2	1	3	3	1.0	1/2	1/2	4/4	1	1	1/4	1/4	1		2	74	D5	5	8
2	1	4	4	1.0	3/4	3/4	4/4	2	2	1/4	1/4	1		10	46	A#2	2	25
2	1	4	4	1.0	3/4	3/4	4/4	2	1	1/4	1/4	1		6	66	F#4	4	19
2	1	4	4	1.0	3/4	3/4	4/4	1	2	1/4	1/4	1		7	73	C#5	5	14
2	1	4	4	1.0	3/4	3/4	4/4	1	1	1/4	1/4	1		4	76	E5	5	9
3	2	5	5	1.0	0	0	4/4	2	2	1/4	1/4	1		5	47	B2	2	39
3	2	5	5	1.0	0	0	4/4	2	1	1/4	1/4	1		6	66	F#4	4	34
3	2	5	5	1.0	0	0	4/4	1	2	1/4	1/4	1		5	71	B4	4	30
3	2	5	5	1.0	0	0	4/4	1	1	1/4	1/4	1		2	74	D5	5	26
3	2	6	6	1.0	1/4	1/4	4/4	2	2	1/4	1/4	1		6	42	F#2	2	40
3	2	6	6	0.5	1/4	1/4	4/4	2	1	1/8	1/8	1		6	66	F#4	4	35
3	2	6	6	1.0	1/4	1/4	4/4	1	2	1/4	1/4	1		10	70	A#4	4	31
3	2	6	6	1.0	1/4	1/4	4/4	1	1	1/4	1/4	1		7	73	C#5	5	27
3	2	13/2	13/2	0.5	3/8	3/8	4/4	2	1	1/8	1/8	1		4	64	E4	4	36
3	2	7	7	1.0	1/2	1/2	4/4	2	2	1/4	1/4	1		5	47	B2	2	41
3	2	7	7	1.0	1/2	1/2	4/4	2	1	1/4	1/4	1		9	63	D#4	4	37
3	2	7	7	1.0	1/2	1/2	4/4	1	2	1/4	1/4	1		6	66	F#4	4	32
3	2	7	7	1.0	1/2	1/2	4/4	1	1	1/4	1/4	1		5	71	B4	4	28
3	2	8	8	1.0	3/4	3/4	4/4	2	2	1/4	1/4	1		9	51	D#3	3	42
3	2	8	8	1.0	3/4	3/4	4/4	2	1	1/4	1/4	1		5	59	B3	3	38
3	2	8	8	1.0	3/4	3/4	4/4	1	2	1/4	1/4	1		6	66	F#4	4	33
3	2	8	8	1.0	3/4	3/4	4/4	1	1	1/4	1/4	1		5	71	B4	4	29
4	3	9	9	1.0	0	0	4/4	2	2	1/4	1/4	1		4	52	E3	3	57
4	3	9	9	1.0	0	0	4/4	2	1	1/4	1/4	1		5	59	B3	3	52
4	3	9	9	1.0	0	0	4/4	1	2	1/4	1/4	1		4	64	E4	4	48
4	3	9	9	1.0	0	0	4/4	1	1	1/4	1/4	1		1	67	G4	4	43
4	3	10	10	1.0	1/4	1/4	4/4	2	2	1/4	1/4	1		6	54	F#3	3	58
4	3	10	10	1.0	1/4	1/4	4/4	2	1	1/4	1/4	1		3	57	A3	3	53
4	3	10	10	1.0	1/4	1/4	4/4	1	2	1/4	1/4	1		2	62	D4	4	49
4	3	10	10	1.0	1/4	1/4	4/4	1	1	1/4	1/4	1		3	69	A4	4	44
4	3	11	11	0.5	1/2	1/2	4/4	2	1	1/8	1/8	1		1	55	G3	3	54
4	3	11	11	1.0	1/2	1/2	4/4	2	2	1/4	1/4	1		1	55	G3	3	59
4	3	11	11	1.0	1/2	1/2	4/4	1	2	1/4	1/4	1		2	62	D4	4	50
4	3	11	11	1.0	1/2	1/2	4/4	1	1	1/4	1/4	1		5	71	B4	4	45
4	3	23/2	23/2	0.5	5/8	5/8	4/4	2	1	1/8	1/8	1		3	57	A3	3	55
4	3	12	12	1.0	3/4	3/4	4/4	2	2	1/4	1/4	1		4	52	E3	3	60
4	3	12	12	1.0	3/4	3/4	4/4	2	1	1/4	1/4	1		5	59	B3	3	56
4	3	12	12	1.0	3/4	3/4	4/4	1	2	1/4	1/4	1		4	64	E4	4	51
4	3	12	12	0.5	3/4	3/4	4/4	1	1	1/8	1/8	1		3	69	A4	4	46
4	3	25/2	25/2	0.5	7/8	7/8	4/4	1	1	1/8	1/8	1		1	67	G4	4	47
5	326	13	13	1.0	0	0	4/4	2	2	1/4	1/4	1		3	45	A2	2	70
5	326	13	13	1.0	0	0	4/4	2	1	1/4	1/4	1		0	60	C4	4	66
5	326	13	13	1.0	0	0	4/4	1	2	1/4	1/4	1		4	64	E4	4	63
5	326	13	13	2.0	0	0	4/4	1	1	1/2	1/2	1		6	66	F#4	4	61
5	326	14	14	1.0	1/4	1/4	4/4	2	2	1/4	1/4	1		5	47	B2	2	71
5	326	14	14	0.5	1/4	1/4	4/4	2	1	1/8	1/8	1		5	59	B3	3	67
5	326	14	14	1.0	1/4	1/4	4/4	1	2	1/4	1/4	1		9	63	D#4	4	64
5	326	29/2	29/2	0.5	3/8	3/8	4/4	2	1	1/8	1/8	1		3	57	A3	3	68
5	326	15	15	1.0	1/2	1/2	4/4	2	2	1/4	1/4	1		4	40	E2	2	72
5	326	15	15	1.0	1/2	1/2	4/4	2	1	1/4	1/4	1		1	55	G3	3	69
5	326	15	15	1.0	1/2	1/2	4/4	1	2	1/4	1/4	1		5	59	B3	3	65
5	326	15	15	1.0	1/2	1/2	4/4	1	1	1/4	1/4	1		4	64	E4	4	62
6	5	16	16	0.5	0	0	4/4	2	2	1/8	1/8	1		4	52	E3	3	86
6	5	16	16	1.0	0	0	4/4	2	1	1/4	1/4	1		1	55	G3	3	82
6	5	16	16	1.0	0	0	4/4	1	2	1/4	1/4	1		5	59	B3	3	77
6	5	16	16	1.0	0	0	4/4	1	1	1/4	1/4	1		4	64	E4	4	73
6	5	33/2	33/2	0.5	1/8	1/8	4/4	2	2	1/8	1/8	1		2	50	D3	3	87
6	5	17	17	0.5	1/4	1/4	4/4	2	2	1/8	1/8	1		0	48	C3	3	88
6	5	17	17	1.0	1/4	1/4	4/4	2	1	1/4	1/4	1		1	55	G3	3	83
6	5	17	17	0.5	1/4	1/4	4/4	1	2	1/8	1/8	1		4	64	E4	4	78
6	5	17	17	1.0	1/4	1/4	4/4	1	1	1/4	1/4	1		1	67	G4	4	74
6	5	35/2	35/2	0.5	3/8	3/8	4/4	2	2	1/8	1/8	1		5	47	B2	2	89
6	5	35/2	35/2	0.5	3/8	3/8	4/4	1	2	1/8	1/8	1		2	62	D4	4	79
6	5	18	18	0.5	1/2	1/2	4/4	2	2	1/8	1/8	1		3	45	A2	2	90
6	5	18	18	1.0	1/2	1/2	4/4	2	1	1/4	1/4	1		0	60	C4	4	84
6	5	18	18	1.0	1/2	1/2	4/4	1	2	1/4	1/4	1		4	64	E4	4	80
6	5	18	18	1.0	1/2	1/2	4/4	1	1	1/4	1/4	1		3	69	A4	4	75
6	5	37/2	37/2	0.5	5/8	5/8	4/4	2	2	1/8	1/8	1		5	47	B2	2	91
6	5	19	19	0.5	3/4	3/4	4/4	2	2	1/8	1/8	1		0	48	C3	3	92
6	5	19	19	1.0	3/4	3/4	4/4	2	1	1/4	1/4	1		3	57	A3	3	85
6	5	19	19	1.0	3/4	3/4	4/4	1	2	1/4	1/4	1		0	60	C4	4	81
6	5	19	19	1.0	3/4	3/4	4/4	1	1	1/4	1/4	1		4	64	E4	4	76
6	5	39/2	39/2	0.5	7/8	7/8	4/4	2	2	1/8	1/8	1		2	50	D3	3	93
7	6	20	20	1.0	0	0	4/4	2	2	1/4	1/4	1		4	52	E3	3	106
7	6	20	20	1.0	0	0	4/4	2	1	1/4	1/4	1		1	55	G3	3	102
7	6	20	20	1.0	0	0	4/4	1	2	1/4	1/4	1		5	59	B3	3	98
7	6	20	20	1.0	0	0	4/4	1	1	1/4	1/4	1		1	67	G4	4	94
7	6	21	21	1.0	1/4	1/4	4/4	2	2	1/4	1/4	1		6	54	F#3	3	107
7	6	21	21	1.0	1/4	1/4	4/4	1	2	1/4	1/4	1		3	57	A3	3	99
7	6	21	21	1.0	1/4	1/4	4/4	2	1	1/4	1/4	1		2	62	D4	4	103
7	6	21	21	1.0	1/4	1/4	4/4	1	1	1/4	1/4	1		3	69	A4	4	95
7	6	22	22	1.0	1/2	1/2	4/4	1	2	1/4	1/4	1		1	55	G3	3	100
7	6	22	22	1.0	1/2	1/2	4/4	2	2	1/4	1/4	1		1	55	G3	3	108
7	6	22	22	1.0	1/2	1/2	4/4	2	1	1/4	1/4	1		2	62	D4	4	104
7	6	22	22	1.0	1/2	1/2	4/4	1	1	1/4	1/4	1		5	71	B4	4	96
7	6	23	23	1.0	3/4	3/4	4/4	2	2	1/4	1/4	1		1	55	G3	3	109
7	6	23	23	1.0	3/4	3/4	4/4	2	1	1/4	1/4	1		5	59	B3	3	105
7	6	23	23	1.0	3/4	3/4	4/4	1	2	1/4	1/4	1		2	62	D4	4	101
7	6	23	23	1.0	3/4	3/4	4/4	1	1	1/4	1/4	1		5	71	B4	4	97
8	7	24	24	1.0	0	0	4/4	2	2	1/4	1/4	1		4	52	E3	3	122
8	7	24	24	1.0	0	0	4/4	2	1	1/4	1/4	1		5	59	B3	3	118
8	7	24	24	1.0	0	0	4/4	1	2	1/4	1/4	1		1	67	G4	4	114
8	7	24	24	1.0	0	0	4/4	1	1	1/4	1/4	1		4	76	E5	5	110
8	7	25	25	1.0	1/4	1/4	4/4	2	2	1/4	1/4	1		6	54	F#3	3	123
8	7	25	25	1.0	1/4	1/4	4/4	2	1	1/4	1/4	1		3	57	A3	3	119
8	7	25	25	1.0	1/4	1/4	4/4	1	2	1/4	1/4	1		6	66	F#4	4	115
8	7	25	25	1.0	1/4	1/4	4/4	1	1	1/4	1/4	1		9	75	D#5	5	111
8	7	26	26	1.0	1/2	1/2	4/4	2	2	1/4	1/4	1		1	55	G3	3	124
8	7	26	26	1.0	1/2	1/2	4/4	2	1	1/4	1/4	1		5	59	B3	3	120
8	7	26	26	1.0	1/2	1/2	4/4	1	2	1/4	1/4	1		4	64	E4	4	116
8	7	26	26	1.0	1/2	1/2	4/4	1	1	1/4	1/4	1		4	76	E5	5	112
8	7	27	27	0.5	3/4	3/4	4/4	2	2	1/8	1/8	1		2	50	D3	3	125
8	7	27	27	1.0	3/4	3/4	4/4	2	1	1/4	1/4	1		5	59	B3	3	121
8	7	27	27	1.0	3/4	3/4	4/4	1	2	1/4	1/4	1		5	71	B4	4	117
8	7	27	27	1.0	3/4	3/4	4/4	1	1	1/4	1/4	1		6	78	F#5	5	113
8	7	55/2	55/2	0.5	7/8	7/8	4/4	2	2	1/8	1/8	1		4	52	E3	3	126
9	8	28	28	1.0	0	0	4/4	2	2	1/4	1/4	1		6	54	F#3	3	141
9	8	28	28	1.0	0	0	4/4	2	1	1/4	1/4	1		6	66	F#4	4	136
9	8	28	28	1.0	0	0	4/4	1	2	1/4	1/4	1		5	71	B4	4	132
9	8	28	28	1.0	0	0	4/4	1	1	1/4	1/4	1		2	74	D5	5	127
9	8	29	29	1.0	1/4	1/4	4/4	2	2	1/4	1/4	1		6	42	F#2	2	142
9	8	29	29	0.5	1/4	1/4	4/4	2	1	1/8	1/8	1		6	66	F#4	4	137
9	8	29	29	1.0	1/4	1/4	4/4	1	2	1/4	1/4	1		10	70	A#4	4	133
9	8	29	29	1.0	1/4	1/4	4/4	1	1	1/4	1/4	1		7	73	C#5	5	128
9	8	59/2	59/2	0.5	3/8	3/8	4/4	2	1	1/8	1/8	1		4	64	E4	4	138
9	8	30	30	1.0	1/2	1/2	4/4	2	2	1/4	1/4	1		5	47	B2	2	143
9	8	30	30	1.0	1/2	1/2	4/4	2	1	1/4	1/4	1		2	62	D4	4	139
9	8	30	30	1.0	1/2	1/2	4/4	1	2	1/4	1/4	1		6	66	F#4	4	134
9	8	30	30	1.0	1/2	1/2	4/4	1	1	1/4	1/4	1		5	71	B4	4	129
9	8	31	31	1.0	3/4	3/4	4/4	2	2	1/4	1/4	1		4	52	E3	3	144
9	8	31	31	1.0	3/4	3/4	4/4	2	1	1/4	1/4	1		5	59	B3	3	140
9	8	31	31	1.0	3/4	3/4	4/4	1	2	1/4	1/4	1		1	67	G4	4	135
9	8	31	31	0.5	3/4	3/4	4/4	1	1	1/8	1/8	1		5	71	B4	4	130
9	8	63/2	63/2	0.5	7/8	7/8	4/4	1	1	1/8	1/8	1		7	73	C#5	5	131
10	9	32	32	1.0	0	0	4/4	2	2	1/4	1/4	1		6	54	F#3	3	157
10	9	32	32	1.0	0	0	4/4	2	1	1/4	1/4	1		3	57	A3	3	153
10	9	32	32	1.0	0	0	4/4	1	2	1/4	1/4	1		3	69	A4	4	149
10	9	32	32	1.0	0	0	4/4	1	1	1/4	1/4	1		2	74	D5	5	145
10	9	33	33	1.0	1/4	1/4	4/4	2	1	1/4	1/4	1		1	55	G3	3	154
10	9	33	33	1.0	1/4	1/4	4/4	2	2	1/4	1/4	1		1	55	G3	3	158
10	9	33	33	1.0	1/4	1/4	4/4	1	2	1/4	1/4	1		2	62	D4	4	150
10	9	33	33	1.0	1/4	1/4	4/4	1	1	1/4	1/4	1		5	71	B4	4	146
10	9	34	34	0.5	1/2	1/2	4/4	2	2	1/8	1/8	1		5	47	B2	2	159
10	9	34	34	1.0	1/2	1/2	4/4	2	1	1/4	1/4	1		1	55	G3	3	155
