piece	TimeSig	KeySig	last_mc	last_mn	length_qb	last_mc_unfolded	last_mn_unfolded	length_qb_unfolded	volta_mcs	all_notes_qb	n_onsets	n_onset_positions	guitar_chord_count	form_label_count	label_count	composer	workTitle	movementNumber	movementTitle	workNumber	poet	lyricist	arranger	copyright	creationDate	platform	source	translator	musescore	ms3_version	subdirectory	rel_path	has_drumset	ambitus	originalFormat	staff_1_instrument	staff_1_ambitus	staff_2_instrument	staff_2_ambitus	staff_3_instrument	staff_3_ambitus	staff_4_instrument	staff_4_ambitus	staff_5_instrument	staff_5_ambitus	staff_6_instrument	staff_6_ambitus	staff_7_instrument	staff_7_ambitus	staff_8_instrument	staff_8_ambitus
001	1: 3/4	1: 0	23	22	63.0	31	29	84.0		252.0	229	80	0	0	0	J. S. Bach	"Chorale 1:
Aus meines Herzens Grunde"		"Chorale 1:
Aus meines Herzens Grunde"						2023-09-21	Linux			4.1.1	2.2.2.post1.dev46+gdbec962	Bach,_Johann_Sebastian/Chorales	Bach,_Johann_Sebastian/Chorales/001.mscz	False	42-74 (F#2-D5)	mxl	Piano	59-74 (B3-D5)	Piano	42-64 (F#2-E4)												
002	1: 4/4	1: 0	15	14	52.0	20	19	68.0		208.0	231	79	0	0	0	J. S. Bach	"Chorale 2:
Ich dank dir, lieber Herre"		"Chorale 2:
Ich dank dir, lieber Herre"						2023-09-21	Linux			4.1.1	2.2.2.post1.dev46+gdbec962	Bach,_Johann_Sebastian/Chorales	Bach,_Johann_Sebastian/Chorales/002.mscz	False	40-76 (E2-E5)	mxl	Piano	59-76 (B3-E5)	Piano	40-68 (E2-G#4)												
003	1: 4/4	1: 0	12	11	40.0	17	16	56.0		160.0	196	64	0	0	0	J. S. Bach	"Chorale 3:
Ach Gott, vom Himmel sieh darein"		"Chorale 3:
Ach Gott, vom Himmel sieh darein"						2023-09-21	Linux			4.1.1	2.2.2.post1.dev46+gdbec962	Bach,_Johann_Sebastian/Chorales	Bach,_Johann_Sebastian/Chorales/003.mscz	False	45-76 (A2-E5)	mxl	Piano	60-76 (C4-E5)	Piano	45-69 (A2-A4)												
004	1: 4/4	1: 0	12	11	40.0	17	16	56.0		160.0	186	61	0	0	0	J. S. Bach	"Chorale 4:
Es ist das Heil uns kommen her"		"Chorale 4:
Es ist das Heil uns kommen her"						2023-09-21	Linux			4.1.1	2.2.2.post1.dev46+gdbec962	Bach,_Johann_Sebastian/Chorales	Bach,_Johann_Sebastian/Chorales/004.mscz	False	40-76 (E2-E5)	mxl	Piano	59-76 (B3-E5)	Piano	40-66 (E2-F#4)												
005	1: 4/4	1: 0	19	18	68.0	24	23	84.0		272.0	331	123	0	0	0	J. S. Bach	"Chorale 5:
An Wasserflüssen Babylon"		"Chorale 5:
An Wasserflüssen Babylon"						2023-09-21	Linux			4.1.1	2.2.2.post1.dev46+gdbec962	Bach,_Johann_Sebastian/Chorales	Bach,_Johann_Sebastian/Chorales/005.mscz	False	40-76 (E2-E5)	mxl	Piano	54-76 (F#3-E5)	Piano	40-64 (E2-E4)												
006	1: 4/4	1: 0	9	8	32.0	9	8	32.0		124.0	125	41	0	0	0	J. S. Bach	"Chorale 6:
Christus, der ist mein Leben"		"Chorale 6:
Christus, der ist mein Leben"						2023-09-21	Linux			4.1.1	2.2.2.post1.dev46+gdbec962	Bach,_Johann_Sebastian/Chorales	Bach,_Johann_Sebastian/Chorales/006.mscz	False	41-77 (F2-F5)	mxl	Piano	60-77 (C4-F5)	Piano	41-65 (F2-F4)												
007	1: 3/4	1: 0	39	38	111.0	48	47	135.0		444.0	346	111	0	0	0	J. S. Bach	"Chorale 7:
Nun lob, mein Seel, den Herren"		"Chorale 7:
Nun lob, mein Seel, den Herren"						2023-09-21	Linux			4.1.1	2.2.2.post1.dev46+gdbec962	Bach,_Johann_Sebastian/Chorales	Bach,_Johann_Sebastian/Chorales/007.mscz	False	42-76 (F#2-E5)	mxl	Piano	59-76 (B3-E5)	Piano	42-68 (F#2-G#4)												
008	1: 4/4	1: 0	20	20	80.0	20	20	80.0		320.0	358	124	0	0	0	J. S. Bach	"Chorale 8:
Freuet euch, ihr Christian alle"		"Chorale 8:
Freuet euch, ihr Christian alle"						2023-09-21	Linux			4.1.1	2.2.2.post1.dev46+gdbec962	Bach,_Johann_Sebastian/Chorales	Bach,_Johann_Sebastian/Chorales/008.mscz	False	41-77 (F2-F5)	mxl	Piano	60-77 (C4-F5)	Piano	41-67 (F2-G4)												
009	1: 4/4	1: 0	14	13	48.0	19	18	64.0		192.0	242	86	0	0	0	J. S. Bach	"Chorale 9:
Ermuntre dich, mein schwacher Geist"		"Chorale 9:
Ermuntre dich, mein schwacher Geist"						2023-09-21	Linux			4.1.1	2.2.2.post1.dev46+gdbec962	Bach,_Johann_Sebastian/Chorales	Bach,_Johann_Sebastian/Chorales/009.mscz	False	38-79 (D2-G5)	mxl	Piano	62-79 (D4-G5)	Piano	38-67 (D2-G4)												
010	1: 4/4	1: 0	13	13	52.0	18	18	72.0		208.0	183	57	0	0	0	J. S. Bach	"Chorale 10:
Aus tiefer Not schrei ich zu dir (melody #1)"		"Chorale 10:
Aus tiefer Not schrei ich zu dir (melody #1)"						2023-09-21	Linux			4.1.1	2.2.2.post1.dev46+gdbec962	Bach,_Johann_Sebastian/Chorales	Bach,_Johann_Sebastian/Chorales/010.mscz	False	38-74 (D2-D5)	mxl	Piano	59-74 (B3-D5)	Piano	38-67 (D2-G4)												
