mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
1	1	0	0	1.0	0	3/4	4/4	2	2	1/4	1/4	1		-1	53	F3	3	3
1	1	0	0	1.0	0	3/4	4/4	2	1	1/4	1/4	1		3	57	A3	3	2
1	1	0	0	1.0	0	3/4	4/4	1	2	1/4	1/4	1		0	60	C4	4	1
1	1	0	0	1.0	0	3/4	4/4	1	1	1/4	1/4	1		-1	65	F4	4	0
2	2	1	1	1.0	0	0	4/4	2	2	1/4	1/4	1		-2	46	Bb2	2	19
2	2	1	1	1.0	0	0	4/4	2	1	1/4	1/4	1		-2	58	Bb3	3	14
2	2	1	1	0.5	0	0	4/4	1	2	1/8	1/8	1		2	62	D4	4	9
2	2	1	1	0.5	0	0	4/4	1	1	1/8	1/8	1		-1	65	F4	4	4
2	2	3/2	3/2	0.5	1/8	1/8	4/4	1	2	1/8	1/8	1		4	64	E4	4	10
2	2	3/2	3/2	0.5	1/8	1/8	4/4	1	1	1/8	1/8	1		1	67	G4	4	5
2	2	2	2	1.0	1/4	1/4	4/4	2	2	1/4	1/4	1		-1	41	F2	2	20
2	2	2	2	1.0	1/4	1/4	4/4	2	1	1/4	1/4	1		0	60	C4	4	15
2	2	2	2	1.0	1/4	1/4	4/4	1	2	1/4	1/4	1		-1	65	F4	4	11
2	2	2	2	1.0	1/4	1/4	4/4	1	1	1/4	1/4	1		3	69	A4	4	6
2	2	3	3	1.0	1/2	1/2	4/4	2	2	1/4	1/4	1		0	48	C3	3	21
2	2	3	3	0.5	1/2	1/2	4/4	2	1	1/8	1/8	1		0	60	C4	4	16
2	2	3	3	1.0	1/2	1/2	4/4	1	2	1/4	1/4	1		4	64	E4	4	12
2	2	3	3	1.0	1/2	1/2	4/4	1	1	1/4	1/4	1		1	67	G4	4	7
2	2	7/2	7/2	0.5	5/8	5/8	4/4	2	1	1/8	1/8	1		-2	58	Bb3	3	17
2	2	4	4	1.0	3/4	3/4	4/4	2	2	1/4	1/4	1		2	50	D3	3	22
2	2	4	4	1.0	3/4	3/4	4/4	2	1	1/4	1/4	1		3	57	A3	3	18
2	2	4	4	1.0	3/4	3/4	4/4	1	2	1/4	1/4	1		2	62	D4	4	13
2	2	4	4	1.0	3/4	3/4	4/4	1	1	1/4	1/4	1		-1	65	F4	4	8
3	3	5	5	1.0	0	0	4/4	2	2	1/4	1/4	1		1	43	G2	2	35
3	3	5	5	1.0	0	0	4/4	2	1	1/4	1/4	1		-2	58	Bb3	3	30
3	3	5	5	1.0	0	0	4/4	1	2	1/4	1/4	1		2	62	D4	4	26
3	3	5	5	2.0	0	0	4/4	1	1	1/2	1/2	1		4	64	E4	4	23
3	3	6	6	1.0	1/4	1/4	4/4	2	2	1/4	1/4	1		3	45	A2	2	36
3	3	6	6	0.5	1/4	1/4	4/4	2	1	1/8	1/8	1		3	57	A3	3	31
3	3	6	6	1.0	1/4	1/4	4/4	1	2	1/4	1/4	1		7	61	C#4	4	27
3	3	13/2	13/2	0.5	3/8	3/8	4/4	2	1	1/8	1/8	1		1	55	G3	3	32
3	3	7	7	1.0	1/2	1/2	4/4	2	2	1/4	1/4	1		2	50	D3	3	37
3	3	7	7	1.0	1/2	1/2	4/4	2	1	1/4	1/4	1		-1	53	F3	3	33
3	3	7	7	1.0	1/2	1/2	4/4	1	1	1/4	1/4	1		2	62	D4	4	24
3	3	7	7	1.0	1/2	1/2	4/4	1	2	1/4	1/4	1		2	62	D4	4	28
3	3	8	8	1.0	3/4	3/4	4/4	2	2	1/4	1/4	1		2	50	D3	3	38
3	3	8	8	1.0	3/4	3/4	4/4	2	1	1/4	1/4	1		2	62	D4	4	34
3	3	8	8	1.0	3/4	3/4	4/4	1	2	1/4	1/4	1		6	66	F#4	4	29
3	3	8	8	1.0	3/4	3/4	4/4	1	1	1/4	1/4	1		3	69	A4	4	25
4	4	9	9	0.5	0	0	4/4	2	2	1/8	1/8	1		1	43	G2	2	53
4	4	9	9	1.0	0	0	4/4	2	1	1/4	1/4	1		2	62	D4	4	48
4	4	9	9	0.5	0	0	4/4	1	2	1/8	1/8	1		1	67	G4	4	43
4	4	9	9	1.0	0	0	4/4	1	1	1/4	1/4	1		-2	70	Bb4	4	39
4	4	19/2	19/2	0.5	1/8	1/8	4/4	2	2	1/8	1/8	1		3	45	A2	2	54
4	4	19/2	19/2	0.5	1/8	1/8	4/4	1	2	1/8	1/8	1		-1	65	F4	4	44
4	4	10	10	1.0	1/4	1/4	4/4	2	2	1/4	1/4	1		-2	46	Bb2	2	55
4	4	10	10	1.0	1/4	1/4	4/4	2	1	1/4	1/4	1		0	60	C4	4	49
4	4	10	10	1.0	1/4	1/4	4/4	1	2	1/4	1/4	1		4	64	E4	4	45
4	4	10	10	1.0	1/4	1/4	4/4	1	1	1/4	1/4	1		1	67	G4	4	40
4	4	11	11	0.5	1/2	1/2	4/4	2	2	1/8	1/8	1		3	45	A2	2	56
4	4	11	11	1.0	1/2	1/2	4/4	2	1	1/4	1/4	1		0	60	C4	4	50
4	4	11	11	1.0	1/2	1/2	4/4	1	2	1/4	1/4	1		-1	65	F4	4	46
4	4	11	11	1.0	1/2	1/2	4/4	1	1	1/4	1/4	1		3	69	A4	4	41
4	4	23/2	23/2	0.5	5/8	5/8	4/4	2	2	1/8	1/8	1		-1	41	F2	2	57
4	4	12	12	1.0	3/4	3/4	4/4	2	2	1/4	1/4	1		0	48	C3	3	58
4	4	12	12	0.5	3/4	3/4	4/4	2	1	1/8	1/8	1		0	60	C4	4	51
4	4	12	12	1.0	3/4	3/4	4/4	1	2	1/4	1/4	1		4	64	E4	4	47
4	4	12	12	1.0	3/4	3/4	4/4	1	1	1/4	1/4	1		1	67	G4	4	42
4	4	25/2	25/2	0.5	7/8	7/8	4/4	2	1	1/8	1/8	1		-2	58	Bb3	3	52
5	5	13	13	3.0	0	0	4/4	2	2	3/4	1/2	3/2		-1	41	F2	2	62
5	5	13	13	3.0	0	0	4/4	2	1	3/4	1/2	3/2		3	57	A3	3	61
5	5	13	13	3.0	0	0	4/4	1	2	3/4	1/2	3/2		0	60	C4	4	60
5	5	13	13	3.0	0	0	4/4	1	1	3/4	1/2	3/2		-1	65	F4	4	59
6	6	16	16	0.5	0	3/4	4/4	2	2	1/8	1/8	1		-1	53	F3	3	67
6	6	16	16	1.0	0	3/4	4/4	2	1	1/4	1/4	1		3	57	A3	3	66
6	6	16	16	1.0	0	3/4	4/4	1	2	1/4	1/4	1		0	60	C4	4	65
6	6	16	16	0.5	0	3/4	4/4	1	1	1/8	1/8	1		-1	65	F4	4	63
6	6	33/2	33/2	0.5	1/8	7/8	4/4	2	2	1/8	1/8	1		4	52	E3	3	68
6	6	33/2	33/2	0.5	1/8	7/8	4/4	1	1	1/8	1/8	1		1	67	G4	4	64
7	7	17	17	1.0	0	0	4/4	2	2	1/4	1/4	1		2	50	D3	3	81
7	7	17	17	1.0	0	0	4/4	2	1	1/4	1/4	1		2	62	D4	4	77
7	7	17	17	1.0	0	0	4/4	1	2	1/4	1/4	1		-1	65	F4	4	73
7	7	17	17	1.0	0	0	4/4	1	1	1/4	1/4	1		3	69	A4	4	69
7	7	18	18	1.0	1/4	1/4	4/4	2	2	1/4	1/4	1		0	48	C3	3	82
7	7	18	18	1.0	1/4	1/4	4/4	2	1	1/4	1/4	1		2	62	D4	4	78
7	7	18	18	1.0	1/4	1/4	4/4	1	2	1/4	1/4	1		6	66	F#4	4	74
7	7	18	18	1.0	1/4	1/4	4/4	1	1	1/4	1/4	1		3	69	A4	4	70
7	7	19	19	0.5	1/2	1/2	4/4	2	2	1/8	1/8	1		-2	46	Bb2	2	83
7	7	19	19	1.0	1/2	1/2	4/4	2	1	1/4	1/4	1		2	62	D4	4	79
7	7	19	19	1.0	1/2	1/2	4/4	1	2	1/4	1/4	1		1	67	G4	4	75
7	7	19	19	1.0	1/2	1/2	4/4	1	1	1/4	1/4	1		-2	70	Bb4	4	71
7	7	39/2	39/2	0.5	5/8	5/8	4/4	2	2	1/8	1/8	1		3	45	A2	2	84
7	7	20	20	1.0	3/4	3/4	4/4	2	2	1/4	1/4	1		1	43	G2	2	85
7	7	20	20	1.0	3/4	3/4	4/4	2	1	1/4	1/4	1		2	62	D4	4	80
7	7	20	20	1.0	3/4	3/4	4/4	1	2	1/4	1/4	1		1	67	G4	4	76
7	7	20	20	1.0	3/4	3/4	4/4	1	1	1/4	1/4	1		-2	70	Bb4	4	72
8	8	21	21	1.5	0	0	4/4	2	2	3/8	1/4	3/2		3	45	A2	2	96
8	8	21	21	2.0	0	0	4/4	2	1	1/2	1/2	1		0	60	C4	4	93
8	8	21	21	1.0	0	0	4/4	1	2	1/4	1/4	1		1	67	G4	4	89
8	8	21	21	2.0	0	0	4/4	1	1	1/2	1/2	1		0	72	C5	5	86
8	8	22	22	1.0	1/4	1/4	4/4	1	2	1/4	1/4	1		-1	65	F4	4	90
8	8	45/2	45/2	0.5	3/8	3/8	4/4	2	2	1/8	1/8	1		-2	46	Bb2	2	97
8	8	23	23	1.0	1/2	1/2	4/4	2	2	1/4	1/4	1		0	48	C3	3	98
8	8	23	23	1.0	1/2	1/2	4/4	2	1	1/4	1/4	1		0	60	C4	4	94
8	8	23	23	1.0	1/2	1/2	4/4	1	2	1/4	1/4	1		4	64	E4	4	91
8	8	23	23	1.0	1/2	1/2	4/4	1	1	1/4	1/4	1		1	67	G4	4	87
8	8	24	24	1.0	3/4	3/4	4/4	2	2	1/4	1/4	1		4	52	E3	3	99
8	8	24	24	1.0	3/4	3/4	4/4	2	1	1/4	1/4	1		0	60	C4	4	95
8	8	24	24	1.0	3/4	3/4	4/4	1	2	1/4	1/4	1		1	67	G4	4	92
8	8	24	24	1.0	3/4	3/4	4/4	1	1	1/4	1/4	1		0	72	C5	5	88
9	9	25	25	1.0	0	0	4/4	2	2	1/4	1/4	1		-1	53	F3	3	112
9	9	25	25	1.0	0	0	4/4	2	1	1/4	1/4	1		0	60	C4	4	108
9	9	25	25	1.0	0	0	4/4	1	2	1/4	1/4	1		-1	65	F4	4	104
9	9	25	25	1.0	0	0	4/4	1	1	1/4	1/4	1		3	69	A4	4	100
9	9	26	26	1.0	1/4	1/4	4/4	2	2	1/4	1/4	1		6	54	F#3	3	113
9	9	26	26	1.0	1/4	1/4	4/4	2	1	1/4	1/4	1		0	60	C4	4	109
9	9	26	26	1.0	1/4	1/4	4/4	1	2	1/4	1/4	1		-3	63	Eb4	4	105
9	9	26	26	1.0	1/4	1/4	4/4	1	1	1/4	1/4	1		3	69	A4	4	101
9	9	27	27	1.0	1/2	1/2	4/4	2	2	1/4	1/4	1		1	55	G3	3	114
9	9	27	27	1.0	1/2	1/2	4/4	2	1	1/4	1/4	1		-2	58	Bb3	3	110
9	9	27	27	1.0	1/2	1/2	4/4	1	2	1/4	1/4	1		2	62	D4	4	106
9	9	27	27	1.0	1/2	1/2	4/4	1	1	1/4	1/4	1		1	67	G4	4	102
9	9	28	28	1.0	3/4	3/4	4/4	2	2	1/4	1/4	1		-4	56	Ab3	3	115
9	9	28	28	1.0	3/4	3/4	4/4	2	1	1/4	1/4	1		5	59	B3	3	111
9	9	28	28	1.0	3/4	3/4	4/4	1	2	1/4	1/4	1		2	62	D4	4	107
9	9	28	28	1.0	3/4	3/4	4/4	1	1	1/4	1/4	1		-1	65	F4	4	103
10	10	29	29	0.5	0	0	4/4	2	1	1/8	1/8	1		4	52	E3	3	123
10	10	29	29	1.0	0	0	4/4	2	2	1/4	1/4	1		3	57	A3	3	128
10	10	29	29	1.0	0	0	4/4	1	2	1/4	1/4	1		2	62	D4	4	119
10	10	29	29	2.0	0	0	4/4	1	1	1/2	1/2	1		4	64	E4	4	116
10	10	59/2	59/2	0.5	1/8	1/8	4/4	2	1	1/8	1/8	1		-1	53	F3	3	124
10	10	30	30	1.0	1/4	1/4	4/4	2	2	1/4	1/4	1		3	45	A2	2	129
10	10	30	30	1.0	1/4	1/4	4/4	2	1	1/4	1/4	1		1	55	G3	3	125
10	10	30	30	1.0	1/4	1/4	4/4	1	2	1/4	1/4	1		7	61	C#4	4	120
10	10	31	31	1.0	1/2	1/2	4/4	2	2	1/4	1/4	1		-2	46	Bb2	2	130
10	10	31	31	1.0	1/2	1/2	4/4	2	1	1/4	1/4	1		-1	53	F3	3	126
10	10	31	31	1.0	1/2	1/2	4/4	1	1	1/4	1/4	1		2	62	D4	4	117
10	10	31	31	1.0	1/2	1/2	4/4	1	2	1/4	1/4	1		2	62	D4	4	121
10	10	32	32	1.0	3/4	3/4	4/4	2	2	1/4	1/4	1		3	45	A2	2	131
10	10	32	32	1.0	3/4	3/4	4/4	2	1	1/4	1/4	1		0	60	C4	4	127
10	10	32	32	1.0	3/4	3/4	4/4	1	2	1/4	1/4	1		6	66	F#4	4	122
10	10	32	32	1.0	3/4	3/4	4/4	1	1	1/4	1/4	1		3	69	A4	4	118
11	11	33	33	0.5	0	0	4/4	2	2	1/8	1/8	1		1	43	G2	2	146
11	11	33	33	1.0	0	0	4/4	2	1	1/4	1/4	1		2	62	D4	4	141
11	11	33	33	0.5	0	0	4/4	1	2	1/8	1/8	1		1	67	G4	4	136
11	11	33	33	1.0	0	0	4/4	1	1	1/4	1/4	1		-2	70	Bb4	4	132
11	11	67/2	67/2	0.5	1/8	1/8	4/4	2	2	1/8	1/8	1		3	45	A2	2	147
11	11	67/2	67/2	0.5	1/8	1/8	4/4	1	2	1/8	1/8	1		-1	65	F4	4	137
11	11	34	34	1.0	1/4	1/4	4/4	2	2	1/4	1/4	1		-2	46	Bb2	2	148
11	11	34	34	1.0	1/4	1/4	4/4	2	1	1/4	1/4	1		0	60	C4	4	142
11	11	34	34	1.0	1/4	1/4	4/4	1	2	1/4	1/4	1		4	64	E4	4	138
11	11	34	34	1.0	1/4	1/4	4/4	1	1	1/4	1/4	1		1	67	G4	4	133
