mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
6	6	39/2	0.5	5/8	5/8	4/4	1	2	1/8	1/8	1.0		1	67	G4	4	96
6	6	39/2	0.5	5/8	5/8	4/4	1	1	1/8	1/8	1.0		4	76	E5	5	89
6	6	20	0.5	3/4	3/4	4/4	2	2	1/8	1/8	1.0		3	57	A3	3	108
6	6	20	1.0	3/4	3/4	4/4	2	1	1/4	1/4	1.0		2	62	D4	4	104
6	6	20	0.5	3/4	3/4	4/4	1	2	1/8	1/8	1.0		3	69	A4	4	97
6	6	20	1.0	3/4	3/4	4/4	1	1	1/4	1/4	1.0		6	78	F#5	5	90
6	6	41/2	0.5	7/8	7/8	4/4	2	2	1/8	1/8	1.0		1	55	G3	3	109
6	6	41/2	0.5	7/8	7/8	4/4	1	2	1/8	1/8	1.0		5	71	B4	4	98
7	7	21	1.0	0	0	4/4	2	2	1/4	1/4	1.0		3	57	A3	3	121
7	7	21	1.0	0	0	4/4	2	1	1/4	1/4	1.0		2	62	D4	4	118
7	7	21	0.5	0	0	4/4	1	2	1/8	1/8	1.0		4	64	E4	4	114
7	7	21	0.5	0	0	4/4	1	1	1/8	1/8	1.0		4	76	E5	5	110
7	7	43/2	0.5	1/8	1/8	4/4	1	2	1/8	1/8	1.0		6	66	F#4	4	115
7	7	43/2	0.5	1/8	1/8	4/4	1	1	1/8	1/8	1.0		2	74	D5	5	111
7	7	22	1.0	1/4	1/4	4/4	2	2	1/4	1/4	1.0		3	45	A2	2	122
7	7	22	1.0	1/4	1/4	4/4	2	1	1/4	1/4	1.0		7	61	C#4	4	119
7	7	22	1.0	1/4	1/4	4/4	1	2	1/4	1/4	1.0		1	67	G4	4	116
7	7	22	1.0	1/4	1/4	4/4	1	1	1/4	1/4	1.0		4	76	E5	5	112
7	7	23	1.0	1/2	1/2	4/4	2	2	1/4	1/4	1.0		2	50	D3	3	123
7	7	23	1.0	1/2	1/2	4/4	2	1	1/4	1/4	1.0		3	57	A3	3	120
7	7	23	1.0	1/2	1/2	4/4	1	2	1/4	1/4	1.0		6	66	F#4	4	117
7	7	23	1.0	1/2	1/2	4/4	1	1	1/4	1/4	1.0		2	74	D5	5	113
8	8	24	0.5	0	3/4	4/4	2	2	1/8	1/8	1.0		2	62	D4	4	128
8	8	24	0.5	0	3/4	4/4	2	1	1/8	1/8	1.0		6	66	F#4	4	126
8	8	24	1.0	0	3/4	4/4	1	2	1/4	1/4	1.0		3	69	A4	4	125
8	8	24	1.0	0	3/4	4/4	1	1	1/4	1/4	1.0		2	74	D5	5	124
