mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
31	31	385/4	0.25	13/16	13/16	4/4	2	1	1/16	1/16	1		4	64	E4	4	500
31	31	193/2	0.25	7/8	7/8	4/4	1	2	1/16	1/16	1		2	62	D4	4	491
31	31	193/2	0.5	7/8	7/8	4/4	1	1	1/8	1/8	1		-1	65	F4	4	482
31	31	193/2	0.5	7/8	7/8	4/4	2	1	1/8	1/8	1		-1	65	F4	4	501
31	31	387/4	0.25	15/16	15/16	4/4	1	2	1/16	1/16	1		7	61	C#4	4	492
32	32	97	0.5	0	0	4/4	2	2	1/8	1/8	1		-2	58	Bb3	3	526
32	32	97	0.5	0	0	4/4	1	2	1/8	1/8	1		2	62	D4	4	513
32	32	97	0.5	0	0	4/4	2	1	1/8	1/8	1		-1	65	F4	4	520
32	32	97	1.0	0	0	4/4	1	1	1/4	1/4	1		1	67	G4	4	509
32	32	195/2	0.5	1/8	1/8	4/4	2	2	1/8	1/8	1		7	49	C#3	3	527
32	32	195/2	0.5	1/8	1/8	4/4	1	2	1/8	1/8	1		3	57	A3	3	514
32	32	195/2	0.5	1/8	1/8	4/4	2	1	1/8	1/8	1		4	64	E4	4	521
32	32	98	1.0	1/4	1/4	4/4	2	2	1/4	1/4	1		2	50	D3	3	528
32	32	98	0.5	1/4	1/4	4/4	1	2	1/8	1/8	1		3	57	A3	3	515
32	32	98	0.5	1/4	1/4	4/4	2	1	1/8	1/8	1		2	62	D4	4	522
32	32	98	1.0	1/4	1/4	4/4	1	1	1/4	1/4	1		-1	65	F4	4	510
32	32	197/2	0.5	3/8	3/8	4/4	2	1	1/8	1/8	1		3	57	A3	3	523
32	32	197/2	0.5	3/8	3/8	4/4	1	2	1/8	1/8	1	1	2	62	D4	4	516
32	32	99	1.0	1/2	1/2	4/4	2	2	1/4	1/4	1		3	45	A2	2	529
32	32	99	1.0	1/2	1/2	4/4	2	1	1/4	1/4	1		3	57	A3	3	524
32	32	99	0.5	1/2	1/2	4/4	1	2	1/8	1/8	1	-1	2	62	D4	4	517
32	32	99	1.0	1/2	1/2	4/4	1	1	1/4	1/4	1		4	64	E4	4	511
32	32	199/2	0.5	5/8	5/8	4/4	1	2	1/8	1/8	1		7	61	C#4	4	518
32	32	100	1.0	3/4	3/4	4/4	2	2	1/4	1/4	1		3	45	A2	2	530
32	32	100	1.0	3/4	3/4	4/4	2	1	1/4	1/4	1		4	52	E3	3	525
32	32	100	1.0	3/4	3/4	4/4	1	2	1/4	1/4	1		3	57	A3	3	519
32	32	100	1.0	3/4	3/4	4/4	1	1	1/4	1/4	1		0	60	C4	4	512
33	33	101	1.0	0	0	4/4	2	2	1/4	1/4	1		5	47	B2	2	547
33	33	101	1.0	0	0	4/4	2	1	1/4	1/4	1		2	50	D3	3	542
33	33	101	1.0	0	0	4/4	1	2	1/4	1/4	1		1	55	G3	3	535
33	33	101	1.0	0	0	4/4	1	1	1/4	1/4	1		2	62	D4	4	531
33	33	102	0.5	1/4	1/4	4/4	2	2	1/8	1/8	1		3	45	A2	2	548
33	33	102	0.5	1/4	1/4	4/4	2	1	1/8	1/8	1		3	57	A3	3	543
33	33	102	0.5	1/4	1/4	4/4	1	2	1/8	1/8	1		0	60	C4	4	536
33	33	102	1.0	1/4	1/4	4/4	1	1	1/4	1/4	1		-1	65	F4	4	532
33	33	205/2	0.5	3/8	3/8	4/4	2	2	1/8	1/8	1		5	47	B2	2	549
33	33	205/2	0.5	3/8	3/8	4/4	2	1	1/8	1/8	1		1	55	G3	3	544
33	33	205/2	0.5	3/8	3/8	4/4	1	2	1/8	1/8	1	1	2	62	D4	4	537
33	33	103	1.0	1/2	1/2	4/4	2	2	1/4	1/4	1		0	48	C3	3	550
33	33	103	1.0	1/2	1/2	4/4	2	1	1/4	1/4	1		1	55	G3	3	545
33	33	103	0.5	1/2	1/2	4/4	1	2	1/8	1/8	1	-1	2	62	D4	4	538
33	33	103	1.0	1/2	1/2	4/4	1	1	1/4	1/4	1		4	64	E4	4	533
33	33	207/2	0.5	5/8	5/8	4/4	1	2	1/8	1/8	1	1	0	60	C4	4	539
33	33	104	1.0	3/4	3/4	4/4	2	2	1/4	1/4	1		1	43	G2	2	551
33	33	104	1.0	3/4	3/4	4/4	2	1	1/4	1/4	1		1	55	G3	3	546
33	33	104	0.5	3/4	3/4	4/4	1	2	1/8	1/8	1	-1	0	60	C4	4	540
33	33	104	1.0	3/4	3/4	4/4	1	1	1/4	1/4	1		2	62	D4	4	534
33	33	209/2	0.5	7/8	7/8	4/4	1	2	1/8	1/8	1		5	59	B3	3	541
34	34	105	1.0	0	0	4/4	2	2	1/4	1/4	1		-1	41	F2	2	569
34	34	105	0.5	0	0	4/4	2	1	1/8	1/8	1		0	48	C3	3	562
34	34	105	0.25	0	0	4/4	1	2	1/16	1/16	1		3	57	A3	3	556
34	34	105	1.0	0	0	4/4	1	1	1/4	1/4	1		-1	65	F4	4	552
34	34	421/4	0.25	1/16	1/16	4/4	1	2	1/16	1/16	1		5	59	B3	3	557
34	34	211/2	0.5	1/8	1/8	4/4	2	1	1/8	1/8	1		3	57	A3	3	563
34	34	211/2	1.0	1/8	1/8	4/4	1	2	1/4	1/4	1		0	60	C4	4	558
34	34	106	1.0	1/4	1/4	4/4	2	2	1/4	1/4	1		1	43	G2	2	570
34	34	106	0.75	1/4	1/4	4/4	2	1	3/16	1/8	3/2		1	55	G3	3	564
34	34	106	1.0	1/4	1/4	4/4	1	1	1/4	1/4	1		2	62	D4	4	553
34	34	213/2	0.5	3/8	3/8	4/4	1	2	1/8	1/8	1		5	59	B3	3	559
34	34	427/4	0.25	7/16	7/16	4/4	2	1	1/16	1/16	1		-1	53	F3	3	565
34	34	107	1.0	1/2	1/2	4/4	2	2	1/4	1/4	1		0	48	C3	3	571
34	34	107	1.0	1/2	1/2	4/4	2	1	1/4	1/4	1		4	52	E3	3	566
34	34	107	1.0	1/2	1/2	4/4	1	2	1/4	1/4	1		1	55	G3	3	560
34	34	107	1.0	1/2	1/2	4/4	1	1	1/4	1/4	1		0	60	C4	4	554
34	34	108	0.5	3/4	3/4	4/4	2	2	1/8	1/8	1		0	48	C3	3	572
34	34	108	0.5	3/4	3/4	4/4	2	1	1/8	1/8	1		4	52	E3	3	567
34	34	108	1.0	3/4	3/4	4/4	1	2	1/4	1/4	1		0	60	C4	4	561
34	34	108	1.0	3/4	3/4	4/4	1	1	1/4	1/4	1		1	67	G4	4	555
34	34	217/2	0.5	7/8	7/8	4/4	2	2	1/8	1/8	1		2	50	D3	3	573
34	34	217/2	0.5	7/8	7/8	4/4	2	1	1/8	1/8	1		-1	53	F3	3	568
35	35	109	1.0	0	0	4/4	2	2	1/4	1/4	1		4	52	E3	3	593
35	35	109	1.0	0	0	4/4	2	1	1/4	1/4	1		1	55	G3	3	585
35	35	109	0.5	0	0	4/4	1	2	1/8	1/8	1		0	60	C4	4	578
35	35	109	1.0	0	0	4/4	1	1	1/4	1/4	1		1	67	G4	4	574
35	35	219/2	0.5	1/8	1/8	4/4	1	2	1/8	1/8	1		2	62	D4	4	579
35	35	110	1.0	1/4	1/4	4/4	2	2	1/4	1/4	1		0	48	C3	3	594
35	35	110	0.5	1/4	1/4	4/4	2	1	1/8	1/8	1		0	60	C4	4	586
35	35	110	1.0	1/4	1/4	4/4	1	2	1/4	1/4	1	1	4	64	E4	4	580
35	35	110	1.0	1/4	1/4	4/4	1	1	1/4	1/4	1		1	67	G4	4	575
35	35	221/2	0.5	3/8	3/8	4/4	2	1	1/8	1/8	1		-2	58	Bb3	3	587
35	35	111	1.0	1/2	1/2	4/4	2	2	1/4	1/4	1		-1	41	F2	2	595
35	35	111	0.5	1/2	1/2	4/4	2	1	1/8	1/8	1		3	57	A3	3	588
