mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
1	1	0	0	1.0	0	3/4	4/4	2	2	1/4	1/4	1		1	55	G3	3	3
1	1	0	0	1.0	0	3/4	4/4	2	1	1/4	1/4	1		2	62	D4	4	2
1	1	0	0	1.0	0	3/4	4/4	1	2	1/4	1/4	1		1	67	G4	4	1
1	1	0	0	1.0	0	3/4	4/4	1	1	1/4	1/4	1		-2	70	Bb4	4	0
2	2	1	1	1.5	0	0	4/4	2	2	3/8	1/4	3/2		6	54	F#3	3	17
2	2	1	1	1.0	0	0	4/4	2	1	1/4	1/4	1		2	62	D4	4	13
2	2	1	1	0.5	0	0	4/4	1	2	1/8	1/8	1		3	69	A4	4	8
2	2	1	1	1.5	0	0	4/4	1	1	3/8	1/4	3/2		2	74	D5	5	4
2	2	3/2	3/2	0.5	1/8	1/8	4/4	1	2	1/8	1/8	1		1	67	G4	4	9
2	2	2	2	1.0	1/4	1/4	4/4	2	1	1/4	1/4	1		2	62	D4	4	14
2	2	2	2	1.0	1/4	1/4	4/4	1	2	1/4	1/4	1		3	69	A4	4	10
2	2	5/2	5/2	0.5	3/8	3/8	4/4	2	2	1/8	1/8	1		6	54	F#3	3	18
2	2	5/2	5/2	0.5	3/8	3/8	4/4	1	1	1/8	1/8	1		0	72	C5	5	5
2	2	3	3	1.0	1/2	1/2	4/4	2	2	1/4	1/4	1		1	55	G3	3	19
2	2	3	3	1.0	1/2	1/2	4/4	2	1	1/4	1/4	1		2	62	D4	4	15
2	2	3	3	1.0	1/2	1/2	4/4	1	2	1/4	1/4	1		1	67	G4	4	11
2	2	3	3	1.0	1/2	1/2	4/4	1	1	1/4	1/4	1		-2	70	Bb4	4	6
2	2	4	4	0.5	3/4	3/4	4/4	2	2	1/8	1/8	1		1	55	G3	3	20
2	2	4	4	1.0	3/4	3/4	4/4	2	1	1/4	1/4	1		-2	58	Bb3	3	16
2	2	4	4	1.0	3/4	3/4	4/4	1	2	1/4	1/4	1		1	67	G4	4	12
2	2	4	4	1.0	3/4	3/4	4/4	1	1	1/4	1/4	1		2	74	D5	5	7
2	2	9/2	9/2	0.5	7/8	7/8	4/4	2	2	1/8	1/8	1		-1	53	F3	3	21
3	3	5	5	1.0	0	0	4/4	2	2	1/4	1/4	1		-3	51	Eb3	3	36
3	3	5	5	1.0	0	0	4/4	2	1	1/4	1/4	1		0	60	C4	4	31
3	3	5	5	1.0	0	0	4/4	1	2	1/4	1/4	1		1	67	G4	4	26
3	3	5	5	1.0	0	0	4/4	1	1	1/4	1/4	1		0	72	C5	5	22
3	3	6	6	1.0	1/4	1/4	4/4	2	2	1/4	1/4	1		2	50	D3	3	37
3	3	6	6	1.0	1/4	1/4	4/4	2	1	1/4	1/4	1		2	62	D4	4	32
3	3	6	6	1.0	1/4	1/4	4/4	1	2	1/4	1/4	1		-1	65	F4	4	27
3	3	6	6	1.0	1/4	1/4	4/4	1	1	1/4	1/4	1		-2	70	Bb4	4	23
3	3	7	7	1.5	1/2	1/2	4/4	2	2	3/8	1/4	3/2		0	48	C3	3	38
3	3	7	7	1.0	1/2	1/2	4/4	2	1	1/4	1/4	1		1	55	G3	3	33
3	3	7	7	0.5	1/2	1/2	4/4	1	2	1/8	1/8	1		-3	63	Eb4	4	28
3	3	7	7	1.0	1/2	1/2	4/4	1	1	1/4	1/4	1		-2	70	Bb4	4	24
3	3	15/2	15/2	0.5	5/8	5/8	4/4	1	2	1/8	1/8	1		2	62	D4	4	29
3	3	8	8	0.5	3/4	3/4	4/4	2	1	1/8	1/8	1		-1	53	F3	3	34
3	3	8	8	1.0	3/4	3/4	4/4	1	2	1/4	1/4	1		-3	63	Eb4	4	30
3	3	8	8	1.0	3/4	3/4	4/4	1	1	1/4	1/4	1		3	69	A4	4	25
3	3	17/2	17/2	0.5	7/8	7/8	4/4	2	2	1/8	1/8	1		0	48	C3	3	39
3	3	17/2	17/2	0.5	7/8	7/8	4/4	2	1	1/8	1/8	1		-3	51	Eb3	3	35
4	4	9	9	2.0	0	0	4/4	2	2	1/2	1/2	1		-2	46	Bb2	2	46
4	4	9	9	2.0	0	0	4/4	2	1	1/2	1/2	1		-1	53	F3	3	44
4	4	9	9	2.0	0	0	4/4	1	2	1/2	1/2	1		2	62	D4	4	42
4	4	9	9	2.0	0	0	4/4	1	1	1/2	1/2	1		-2	70	Bb4	4	40
4	4	12	12	1.0	3/4	3/4	4/4	2	1	1/4	1/4	1		-2	58	Bb3	3	45
4	4	12	12	1.0	3/4	3/4	4/4	2	2	1/4	1/4	1		-2	58	Bb3	3	47
4	4	12	12	1.0	3/4	3/4	4/4	1	2	1/4	1/4	1		-1	65	F4	4	43
4	4	12	12	1.0	3/4	3/4	4/4	1	1	1/4	1/4	1		2	74	D5	5	41
5	5	13	13	1.5	0	0	4/4	2	2	3/8	1/4	3/2		3	57	A3	3	62
5	5	13	13	0.5	0	0	4/4	2	1	1/8	1/8	1		0	60	C4	4	57
5	5	13	13	1.5	0	0	4/4	1	2	3/8	1/4	3/2		-1	65	F4	4	53
5	5	13	13	1.5	0	0	4/4	1	1	3/8	1/4	3/2		-1	77	F5	5	48
5	5	27/2	27/2	0.5	1/8	1/8	4/4	2	1	1/8	1/8	1		-2	58	Bb3	3	58
5	5	14	14	1.0	1/4	1/4	4/4	2	1	1/4	1/4	1		0	60	C4	4	59
5	5	29/2	29/2	0.5	3/8	3/8	4/4	2	2	1/8	1/8	1		3	57	A3	3	63
5	5	29/2	29/2	0.5	3/8	3/8	4/4	1	2	1/8	1/8	1		-1	65	F4	4	54
5	5	29/2	29/2	0.5	3/8	3/8	4/4	1	1	1/8	1/8	1		-3	75	Eb5	5	49
5	5	15	15	1.0	1/2	1/2	4/4	2	1	1/4	1/4	1		-2	58	Bb3	3	60
5	5	15	15	1.0	1/2	1/2	4/4	2	2	1/4	1/4	1		-2	58	Bb3	3	64
5	5	15	15	1.0	1/2	1/2	4/4	1	2	1/4	1/4	1		-1	65	F4	4	55
5	5	15	15	1.0	1/2	1/2	4/4	1	1	1/4	1/4	1		2	74	D5	5	50
5	5	16	16	1.0	3/4	3/4	4/4	2	2	1/4	1/4	1		6	54	F#3	3	65
5	5	16	16	1.0	3/4	3/4	4/4	2	1	1/4	1/4	1		3	57	A3	3	61
5	5	16	16	1.0	3/4	3/4	4/4	1	2	1/4	1/4	1		2	62	D4	4	56
5	5	16	16	0.5	3/4	3/4	4/4	1	1	1/8	1/8	1		2	74	D5	5	51
5	5	33/2	33/2	0.5	7/8	7/8	4/4	1	1	1/8	1/8	1		0	72	C5	5	52
6	6	17	17	0.5	0	0	4/4	2	1	1/8	1/8	1		1	55	G3	3	76
6	6	17	17	0.5	0	0	4/4	2	2	1/8	1/8	1		1	55	G3	3	83
6	6	17	17	1.0	0	0	4/4	1	2	1/4	1/4	1		2	62	D4	4	71
6	6	17	17	0.5	0	0	4/4	1	1	1/8	1/8	1		-2	70	Bb4	4	66
6	6	35/2	35/2	0.5	1/8	1/8	4/4	2	2	1/8	1/8	1		-1	53	F3	3	84
6	6	35/2	35/2	0.5	1/8	1/8	4/4	2	1	1/8	1/8	1		3	57	A3	3	77
6	6	35/2	35/2	0.5	1/8	1/8	4/4	1	1	1/8	1/8	1		3	69	A4	4	67
6	6	18	18	0.5	1/4	1/4	4/4	2	2	1/8	1/8	1		-3	51	Eb3	3	85
6	6	18	18	1.0	1/4	1/4	4/4	2	1	1/4	1/4	1		-2	58	Bb3	3	78
6	6	18	18	0.5	1/4	1/4	4/4	1	2	1/8	1/8	1		1	67	G4	4	72
6	6	18	18	1.0	1/4	1/4	4/4	1	1	1/4	1/4	1		1	67	G4	4	68
6	6	37/2	37/2	0.5	3/8	3/8	4/4	2	2	1/8	1/8	1		2	50	D3	3	86
6	6	37/2	37/2	0.5	3/8	3/8	4/4	1	2	1/8	1/8	1		-1	65	F4	4	73
6	6	19	19	1.0	1/2	1/2	4/4	2	2	1/4	1/4	1		0	48	C3	3	87
6	6	19	19	0.5	1/2	1/2	4/4	2	1	1/8	1/8	1		-3	63	Eb4	4	79
6	6	19	19	1.0	1/2	1/2	4/4	1	2	1/4	1/4	1		1	67	G4	4	74
6	6	19	19	1.5	1/2	1/2	4/4	1	1	3/8	1/4	3/2		3	69	A4	4	69
6	6	39/2	39/2	0.5	5/8	5/8	4/4	2	1	1/8	1/8	1		2	62	D4	4	80
6	6	20	20	1.0	3/4	3/4	4/4	2	2	1/4	1/4	1		0	48	C3	3	88
6	6	20	20	0.5	3/4	3/4	4/4	2	1	1/8	1/8	1		0	60	C4	4	81
6	6	20	20	1.0	3/4	3/4	4/4	1	2	1/4	1/4	1		-3	63	Eb4	4	75
6	6	41/2	41/2	0.5	7/8	7/8	4/4	2	1	1/8	1/8	1		-2	58	Bb3	3	82
