mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
1	1	0	0	1.0		0	3/4	4/4	2	2	1/4	1/4	1		6	54	F#3	3	3
1	1	0	0	1.0		0	3/4	4/4	2	1	1/4	1/4	1		10	58	A#3	3	2
1	1	0	0	1.0		0	3/4	4/4	1	2	1/4	1/4	1		6	66	F#4	4	1
1	1	0	0	1.0		0	3/4	4/4	1	1	1/4	1/4	1		7	73	C#5	5	0
2	2	1	1	1.0		0	0	4/4	2	2	1/4	1/4	1		5	47	B2	2	19
2	2	1	1	1.0		0	0	4/4	2	1	1/4	1/4	1		5	59	B3	3	14
2	2	1	1	1.0		0	0	4/4	1	2	1/4	1/4	1		6	66	F#4	4	9
2	2	1	1	1.0		0	0	4/4	1	1	1/4	1/4	1		2	74	D5	5	4
2	2	2	2	1.0		1/4	1/4	4/4	2	2	1/4	1/4	1		6	54	F#3	3	20
2	2	2	2	1.0		1/4	1/4	4/4	2	1	1/4	1/4	1		10	58	A#3	3	15
2	2	2	2	0.5		1/4	1/4	4/4	1	2	1/8	1/8	1		6	66	F#4	4	10
2	2	2	2	1.0		1/4	1/4	4/4	1	1	1/4	1/4	1		7	73	C#5	5	5
2	2	5/2	5/2	0.5		3/8	3/8	4/4	1	2	1/8	1/8	1		4	64	E4	4	11
2	2	3	3	1.0		1/2	1/2	4/4	2	2	1/4	1/4	1		1	55	G3	3	21
2	2	3	3	1.0		1/2	1/2	4/4	2	1	1/4	1/4	1		5	59	B3	3	16
2	2	3	3	1.0		1/2	1/2	4/4	1	2	1/4	1/4	1		2	62	D4	4	12
2	2	3	3	1.0		1/2	1/2	4/4	1	1	1/4	1/4	1		5	71	B4	4	6
2	2	4	4	1.0		3/4	3/4	4/4	2	2	1/4	1/4	1		6	54	F#3	3	22
2	2	4	4	0.5		3/4	3/4	4/4	2	1	1/8	1/8	1		3	57	A3	3	17
2	2	4	4	1.0		3/4	3/4	4/4	1	2	1/4	1/4	1		3	69	A4	4	13
2	2	4	4	0.5		3/4	3/4	4/4	1	1	1/8	1/8	1		7	73	C#5	5	7
2	2	9/2	9/2	0.5		7/8	7/8	4/4	2	1	1/8	1/8	1		5	59	B3	3	18
2	2	9/2	9/2	0.5		7/8	7/8	4/4	1	1	1/8	1/8	1		2	74	D5	5	8
3	3	5	5	1.0		0	0	4/4	2	2	1/4	1/4	1		4	52	E3	3	37
3	3	5	5	1.0		0	0	4/4	2	1	1/4	1/4	1		7	61	C#4	4	32
3	3	5	5	1.0		0	0	4/4	1	2	1/4	1/4	1		1	67	G4	4	27
3	3	5	5	1.0		0	0	4/4	1	1	1/4	1/4	1		4	76	E5	5	23
3	3	6	6	1.0		1/4	1/4	4/4	2	2	1/4	1/4	1		2	50	D3	3	38
3	3	6	6	1.0		1/4	1/4	4/4	2	1	1/4	1/4	1		2	62	D4	4	33
3	3	6	6	0.5		1/4	1/4	4/4	1	2	1/8	1/8	1		6	66	F#4	4	28
3	3	6	6	1.0		1/4	1/4	4/4	1	1	1/4	1/4	1		6	78	F#5	5	24
3	3	13/2	13/2	0.5		3/8	3/8	4/4	1	2	1/8	1/8	1		8	68	G#4	4	29
3	3	7	7	1.0		1/2	1/2	4/4	2	2	1/4	1/4	1		7	49	C#3	3	39
3	3	7	7	0.5		1/2	1/2	4/4	2	1	1/8	1/8	1		4	64	E4	4	34
3	3	7	7	1.0		1/2	1/2	4/4	1	2	1/4	1/4	1		3	69	A4	4	30
3	3	7	7	1.0		1/2	1/2	4/4	1	1	1/4	1/4	1		4	76	E5	5	25
3	3	15/2	15/2	0.5		5/8	5/8	4/4	2	1	1/8	1/8	1		6	66	F#4	4	35
3	3	8	8	1.0		3/4	3/4	4/4	2	2	1/4	1/4	1		5	47	B2	2	40
3	3	8	8	1.0		3/4	3/4	4/4	2	1	1/4	1/4	1		8	68	G#4	4	36
3	3	8	8	1.0		3/4	3/4	4/4	1	2	1/4	1/4	1		5	71	B4	4	31
3	3	8	8	1.0		3/4	3/4	4/4	1	1	1/4	1/4	1		2	74	D5	5	26
4	4	9	9	2.0		0	0	4/4	2	2	1/2	1/2	1		3	45	A2	2	47
4	4	9	9	2.0		0	0	4/4	2	1	1/2	1/2	1		7	61	C#4	4	45
4	4	9	9	2.0		0	0	4/4	1	2	1/2	1/2	1		4	64	E4	4	43
4	4	9	9	2.0		0	0	4/4	1	1	1/2	1/2	1		7	73	C#5	5	41
4	4	12	12	1.0		3/4	3/4	4/4	2	2	1/4	1/4	1		10	46	A#2	2	48
4	4	12	12	1.0		3/4	3/4	4/4	2	1	1/4	1/4	1		7	61	C#4	4	46
4	4	12	12	1.0		3/4	3/4	4/4	1	2	1/4	1/4	1		6	66	F#4	4	44
4	4	12	12	1.0		3/4	3/4	4/4	1	1	1/4	1/4	1		4	76	E5	5	42
5	5	13	13	1.0		0	0	4/4	2	2	1/4	1/4	1		5	47	B2	2	64
5	5	13	13	0.5		0	0	4/4	2	1	1/8	1/8	1		5	59	B3	3	58
5	5	13	13	1.0		0	0	4/4	1	2	1/4	1/4	1		6	66	F#4	4	53
5	5	13	13	1.0		0	0	4/4	1	1	1/4	1/4	1		2	74	D5	5	49
5	5	27/2	27/2	0.5		1/8	1/8	4/4	2	1	1/8	1/8	1		3	57	A3	3	59
5	5	14	14	1.0		1/4	1/4	4/4	2	2	1/4	1/4	1		4	52	E3	3	65
5	5	14	14	1.0		1/4	1/4	4/4	2	1	1/4	1/4	1		1	55	G3	3	60
5	5	14	14	1.0		1/4	1/4	4/4	1	2	1/4	1/4	1		4	64	E4	4	54
5	5	14	14	1.0		1/4	1/4	4/4	1	1	1/4	1/4	1		7	73	C#5	5	50
5	5	15	15	1.0		1/2	1/2	4/4	2	2	1/4	1/4	1		2	50	D3	3	66
5	5	15	15	1.0		1/2	1/2	4/4	2	1	1/4	1/4	1		3	57	A3	3	61
5	5	15	15	1.0		1/2	1/2	4/4	1	2	1/4	1/4	1		6	66	F#4	4	55
5	5	15	15	1.0		1/2	1/2	4/4	1	1	1/4	1/4	1		2	74	D5	5	51
5	5	16	16	1.0		3/4	3/4	4/4	2	2	1/4	1/4	1		1	55	G3	3	67
5	5	16	16	0.5		3/4	3/4	4/4	2	1	1/8	1/8	1		5	59	B3	3	62
5	5	16	16	0.5		3/4	3/4	4/4	1	2	1/8	1/8	1		2	62	D4	4	56
5	5	16	16	1.0		3/4	3/4	4/4	1	1	1/4	1/4	1		5	71	B4	4	52
5	5	33/2	33/2	0.5		7/8	7/8	4/4	2	1	1/8	1/8	1		7	61	C#4	4	63
5	5	33/2	33/2	0.5		7/8	7/8	4/4	1	2	1/8	1/8	1		4	64	E4	4	57
6	6	17	17	1.0		0	0	4/4	2	2	1/4	1/4	1		6	54	F#3	3	77
6	6	17	17	3.0		0	0	4/4	2	1	3/4	1/2	3/2		2	62	D4	4	75
6	6	17	17	3.0		0	0	4/4	1	2	3/4	1/2	3/2		6	66	F#4	4	73
6	6	17	17	1.0		0	0	4/4	1	1	1/4	1/4	1		3	69	A4	4	68
6	6	18	18	1.0		1/4	1/4	4/4	2	2	1/4	1/4	1		5	59	B3	3	78
6	6	18	18	0.5		1/4	1/4	4/4	1	1	1/8	1/8	1		6	66	F#4	4	69
6	6	37/2	37/2	0.5		3/8	3/8	4/4	1	1	1/8	1/8	1		1	67	G4	4	70
6	6	19	19	1.0		1/2	1/2	4/4	2	2	1/4	1/4	1		3	57	A3	3	79
6	6	19	19	1.0		1/2	1/2	4/4	1	1	1/4	1/4	1		3	69	A4	4	71
6	6	20	20	1.0		3/4	3/4	4/4	2	2	1/4	1/4	1		3	45	A2	2	80
6	6	20	20	1.0		3/4	3/4	4/4	2	1	1/4	1/4	1		3	57	A3	3	76
6	6	20	20	1.0		3/4	3/4	4/4	1	2	1/4	1/4	1		4	64	E4	4	74
6	6	20	20	1.0		3/4	3/4	4/4	1	1	1/4	1/4	1		1	67	G4	4	72
7	7		21	3.0	1	0	0	4/4	2	2	3/4	1/2	3/2		2	50	D3	3	87
7	7		21	3.0	1	0	0	4/4	2	1	3/4	1/2	3/2		3	57	A3	3	85
7	7		21	3.0	1	0	0	4/4	1	2	3/4	1/2	3/2		2	62	D4	4	83
7	7		21	3.0	1	0	0	4/4	1	1	3/4	1/2	3/2		6	66	F#4	4	81
7	7		24	1.0	1	3/4	3/4	4/4	2	2	1/4	1/4	1		7	49	C#3	3	88
7	7		24	1.0	1	3/4	3/4	4/4	2	1	1/4	1/4	1		10	58	A#3	3	86
7	7		24	1.0	1	3/4	3/4	4/4	1	2	1/4	1/4	1		4	64	E4	4	84
7	7		24	1.0	1	3/4	3/4	4/4	1	1	1/4	1/4	1		7	73	C#5	5	82
8	8	21	25	3.0		0	0	4/4	2	2	3/4	1/2	3/2		2	50	D3	3	95
8	8	21	25	3.0		0	0	4/4	2	1	3/4	1/2	3/2		3	57	A3	3	93
8	8	21	25	3.0		0	0	4/4	1	2	3/4	1/2	3/2		2	62	D4	4	91
8	8	21	25	3.0		0	0	4/4	1	1	3/4	1/2	3/2		6	66	F#4	4	89
8	8	24	28	1.0		3/4	3/4	4/4	2	2	1/4	1/4	1		2	50	D3	3	96
8	8	24	28	1.0		3/4	3/4	4/4	2	1	1/4	1/4	1		3	57	A3	3	94
8	8	24	28	1.0		3/4	3/4	4/4	1	2	1/4	1/4	1		6	66	F#4	4	92
8	8	24	28	1.0		3/4	3/4	4/4	1	1	1/4	1/4	1		3	69	A4	4	90
