mc	mn	quarterbeats	duration_qb	volta	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
3	3	9	1.0		1/4	1/4	4/4	1	1	1/4	1/4	1		6	66	F#4	4	30
3	3	19/2	0.5		3/8	3/8	4/4	2	2	1/8	1/8	1		7	49	C#3	3	39
3	3	10	2.0		1/2	1/2	4/4	2	2	1/2	1/2	1		9	51	D#3	3	40
3	3	11	0.5		3/4	3/4	4/4	1	1	1/8	1/8	1		5	71	B4	4	31
3	3	23/2	0.5		7/8	7/8	4/4	1	1	1/8	1/8	1		3	69	A4	4	32
4	4	12	0.5		0	0	4/4	2	2	1/8	1/8	1		4	52	E3	3	54
4	4	12	1.0		0	0	4/4	1	1	1/4	1/4	1		8	68	G#4	4	41
4	4	25/2	0.5		1/8	1/8	4/4	2	2	1/8	1/8	1		4	40	E2	2	55
4	4	13	1.0		1/4	1/4	4/4	2	2	1/4	1/4	1	1	4	52	E3	3	56
4	4	13	0.5		1/4	1/4	4/4	2	1	1/8	1/8	1		4	64	E4	4	50
4	4	13	1.0		1/4	1/4	4/4	1	2	1/4	1/4	1		8	68	G#4	4	47
4	4	13	0.5		1/4	1/4	4/4	1	1	1/8	1/8	1		7	73	C#5	5	42
4	4	27/2	0.5		3/8	3/8	4/4	2	1	1/8	1/8	1		9	63	D#4	4	51
4	4	27/2	0.5		3/8	3/8	4/4	1	1	1/8	1/8	1		5	71	B4	4	43
4	4	14	0.5		1/2	1/2	4/4	2	2	1/8	1/8	1	-1	4	52	E3	3	57
4	4	14	1.0		1/2	1/2	4/4	2	1	1/4	1/4	1		7	61	C#4	4	52
4	4	14	1.0		1/2	1/2	4/4	1	2	1/4	1/4	1		6	66	F#4	4	48
4	4	14	0.5		1/2	1/2	4/4	1	1	1/8	1/8	1		10	70	A#4	4	44
4	4	29/2	0.5		5/8	5/8	4/4	2	2	1/8	1/8	1		9	51	D#3	3	58
4	4	29/2	0.5		5/8	5/8	4/4	1	1	1/8	1/8	1		6	66	F#4	4	45
4	4	15	0.5		3/4	3/4	4/4	2	2	1/8	1/8	1		7	49	C#3	3	59
4	4	15	1.0		3/4	3/4	4/4	2	1	1/4	1/4	1		9	63	D#4	4	53
4	4	15	1.0		3/4	3/4	4/4	1	2	1/4	1/4	1		6	66	F#4	4	49
4	4	15	1.0		3/4	3/4	4/4	1	1	1/4	1/4	1	1	5	71	B4	4	46
4	4	31/2	0.5		7/8	7/8	4/4	2	2	1/8	1/8	1		5	47	B2	2	60
5	5		1.0	1	0	0	4/4	2	2	1/4	1/4	1		6	54	F#3	3	70
5	5		1.0	1	0	0	4/4	2	1	1/4	1/4	1		7	61	C#4	4	67
5	5		1.0	1	0	0	4/4	1	2	1/4	1/4	1		6	66	F#4	4	64
5	5		1.0	1	0	0	4/4	1	1	1/4	1/4	1	-1	5	71	B4	4	61
5	5		1.0	1	1/4	1/4	4/4	2	2	1/4	1/4	1		6	42	F#2	2	71
5	5		1.0	1	1/4	1/4	4/4	2	1	1/4	1/4	1		7	61	C#4	4	68
5	5		1.0	1	1/4	1/4	4/4	1	2	1/4	1/4	1		6	66	F#4	4	65
5	5		1.0	1	1/4	1/4	4/4	1	1	1/4	1/4	1		10	70	A#4	4	62
5	5		2.0	1	1/2	1/2	4/4	2	2	1/2	1/2	1		5	47	B2	2	72
5	5		2.0	1	1/2	1/2	4/4	2	1	1/2	1/2	1		9	63	D#4	4	69
5	5		2.0	1	1/2	1/2	4/4	1	2	1/2	1/2	1		6	66	F#4	4	66
5	5		2.0	1	1/2	1/2	4/4	1	1	1/2	1/2	1		5	71	B4	4	63
6	6	16	1.0	2	0	0	4/4	2	2	1/4	1/4	1		6	54	F#3	3	82
6	6	16	1.0	2	0	0	4/4	2	1	1/4	1/4	1		7	61	C#4	4	79
6	6	16	1.0	2	0	0	4/4	1	2	1/4	1/4	1		6	66	F#4	4	76
6	6	16	1.0	2	0	0	4/4	1	1	1/4	1/4	1		5	71	B4	4	73
6	6	17	1.0	2	1/4	1/4	4/4	2	2	1/4	1/4	1		6	42	F#2	2	83
6	6	17	1.0	2	1/4	1/4	4/4	2	1	1/4	1/4	1		7	61	C#4	4	80
6	6	17	1.0	2	1/4	1/4	4/4	1	2	1/4	1/4	1		6	66	F#4	4	77
6	6	17	1.0	2	1/4	1/4	4/4	1	1	1/4	1/4	1		10	70	A#4	4	74
6	6	18	1.5	2	1/2	1/2	4/4	2	2	3/8	1/4	3/2		5	47	B2	2	84
6	6	18	2.0	2	1/2	1/2	4/4	2	1	1/2	1/2	1		9	63	D#4	4	81
6	6	18	2.0	2	1/2	1/2	4/4	1	2	1/2	1/2	1		6	66	F#4	4	78
6	6	18	2.0	2	1/2	1/2	4/4	1	1	1/2	1/2	1		5	71	B4	4	75
6	6	39/2	0.5	2	7/8	7/8	4/4	2	2	1/8	1/8	1		7	49	C#3	3	85
7	7	20	1.0		0	0	4/4	2	2	1/4	1/4	1		9	51	D#3	3	97
7	7	21	1.0		1/4	1/4	4/4	2	2	1/4	1/4	1		5	47	B2	2	98
7	7	21	0.5		1/4	1/4	4/4	1	2	1/8	1/8	1		9	63	D#4	4	90
7	7	21	0.5		1/4	1/4	4/4	1	1	1/8	1/8	1		6	66	F#4	4	86
7	7	43/2	0.5		3/8	3/8	4/4	1	2	1/8	1/8	1		4	64	E4	4	91
7	7	43/2	0.5		3/8	3/8	4/4	1	1	1/8	1/8	1		8	68	G#4	4	87
7	7	22	1.0		1/2	1/2	4/4	2	2	1/4	1/4	1		6	42	F#2	2	99
7	7	22	1.0		1/2	1/2	4/4	1	2	1/4	1/4	1		6	66	F#4	4	92
7	7	22	1.0		1/2	1/2	4/4	1	1	1/4	1/4	1		3	69	A4	4	88
7	7	23	0.5		3/4	3/4	4/4	2	2	1/8	1/8	1		7	49	C#3	3	100
7	7	23	0.5		3/4	3/4	4/4	1	2	1/8	1/8	1		4	64	E4	4	93
7	7	23	0.5		3/4	3/4	4/4	2	1	1/8	1/8	1		4	64	E4	4	95
7	7	23	1.0		3/4	3/4	4/4	1	1	1/4	1/4	1		8	68	G#4	4	89
7	7	47/2	0.5		7/8	7/8	4/4	2	2	1/8	1/8	1		9	51	D#3	3	101
7	7	47/2	0.5		7/8	7/8	4/4	2	1	1/8	1/8	1		9	63	D#4	4	96
7	7	47/2	0.5		7/8	7/8	4/4	1	2	1/8	1/8	1		6	66	F#4	4	94
8	8	24	0.5		0	0	4/4	2	2	1/8	1/8	1		4	52	E3	3	115
8	8	24	0.5		0	0	4/4	2	1	1/8	1/8	1		7	61	C#4	4	110
8	8	24	0.5		0	0	4/4	1	2	1/8	1/8	1		8	68	G#4	4	105
8	8	24	1.5		0	0	4/4	1	1	3/8	1/4	3/2		7	73	C#5	5	102
8	8	49/2	0.5		1/8	1/8	4/4	2	2	1/8	1/8	1		9	51	D#3	3	116
8	8	49/2	0.5		1/8	1/8	4/4	1	2	1/8	1/8	1		6	66	F#4	4	106
8	8	49/2	0.5		1/8	1/8	4/4	2	1	1/8	1/8	1		3	69	A4	4	111
8	8	25	0.5		1/4	1/4	4/4	2	2	1/8	1/8	1		4	52	E3	3	117
8	8	25	0.5		1/4	1/4	4/4	1	2	1/8	1/8	1		8	68	G#4	4	107
8	8	25	0.5		1/4	1/4	4/4	2	1	1/8	1/8	1		8	68	G#4	4	112
8	8	51/2	0.5		3/8	3/8	4/4	2	2	1/8	1/8	1		6	54	F#3	3	118
8	8	51/2	0.5		3/8	3/8	4/4	2	1	1/8	1/8	1		6	66	F#4	4	113
8	8	51/2	0.5		3/8	3/8	4/4	1	2	1/8	1/8	1		3	69	A4	4	108
8	8	51/2	0.5		3/8	3/8	4/4	1	1	1/8	1/8	1		9	75	D#5	5	103
8	8	26	1.0		1/2	1/2	4/4	2	2	1/4	1/4	1		8	44	G#2	2	119
8	8	26	2.0		1/2	1/2	4/4	2	1	1/2	1/2	1		9	63	D#4	4	114
8	8	26	2.0		1/2	1/2	4/4	1	2	1/2	1/2	1		8	68	G#4	4	109
8	8	26	2.0		1/2	1/2	4/4	1	1	1/2	1/2	1		12	72	B#4	4	104
8	8	27	0.5		3/4	3/4	4/4	2	2	1/8	1/8	1		8	56	G#3	3	120
8	8	55/2	0.5		7/8	7/8	4/4	2	2	1/8	1/8	1		6	54	F#3	3	121
9	9	28	3.0		0	0	4/4	2	2	3/4	1/2	3/2		4	52	E3	3	133
9	9	29	0.5		1/4	1/4	4/4	2	1	1/8	1/8	1		4	64	E4	4	129
9	9	29	1.0		1/4	1/4	4/4	1	2	1/4	1/4	1		8	68	G#4	4	126
9	9	29	0.5		1/4	1/4	4/4	1	1	1/8	1/8	1		7	73	C#5	5	122
9	9	59/2	0.5		3/8	3/8	4/4	2	1	1/8	1/8	1		9	63	D#4	4	130
9	9	59/2	0.5		3/8	3/8	4/4	1	1	1/8	1/8	1		5	71	B4	4	123
9	9	30	1.0		1/2	1/2	4/4	2	1	1/4	1/4	1		7	61	C#4	4	131
9	9	30	1.0		1/2	1/2	4/4	1	2	1/4	1/4	1		6	66	F#4	4	127
9	9	30	1.0		1/2	1/2	4/4	1	1	1/4	1/4	1		10	70	A#4	4	124
9	9	31	0.5		3/4	3/4	4/4	2	2	1/8	1/8	1		9	51	D#3	3	134
9	9	31	1.0		3/4	3/4	4/4	2	1	1/4	1/4	1		9	63	D#4	4	132
9	9	31	1.0		3/4	3/4	4/4	1	2	1/4	1/4	1		6	66	F#4	4	128
9	9	31	1.0		3/4	3/4	4/4	1	1	1/4	1/4	1		5	71	B4	4	125
9	9	63/2	0.5		7/8	7/8	4/4	2	2	1/8	1/8	1		4	52	E3	3	135
10	10	32	1.0		0	0	4/4	2	2	1/4	1/4	1		6	54	F#3	3	148
10	10	32	0.5		0	0	4/4	2	1	1/8	1/8	1		7	61	C#4	4	144
10	10	32	1.0		0	0	4/4	1	2	1/4	1/4	1		6	66	F#4	4	141
10	10	32	1.0		0	0	4/4	1	1	1/4	1/4	1		5	71	B4	4	136
10	10	65/2	0.5		1/8	1/8	4/4	2	1	1/8	1/8	1		5	59	B3	3	145
10	10	33	1.0		1/4	1/4	4/4	2	2	1/4	1/4	1		6	42	F#2	2	149
10	10	33	1.0		1/4	1/4	4/4	2	1	1/4	1/4	1		7	61	C#4	4	146
10	10	33	1.0		1/4	1/4	4/4	1	2	1/4	1/4	1		6	66	F#4	4	142
10	10	33	1.0		1/4	1/4	4/4	1	1	1/4	1/4	1		10	70	A#4	4	137
10	10	34	1.5		1/2	1/2	4/4	2	2	3/8	1/4	3/2		5	47	B2	2	150
10	10	34	1.0		1/2	1/2	4/4	2	1	1/4	1/4	1		9	63	D#4	4	147
10	10	34	1.0		1/2	1/2	4/4	1	2	1/4	1/4	1		6	66	F#4	4	143
10	10	34	1.0		1/2	1/2	4/4	1	1	1/4	1/4	1		5	71	B4	4	138
10	10	35	0.5		3/4	3/4	4/4	1	1	1/8	1/8	1		6	66	F#4	4	139
10	10	71/2	0.5		7/8	7/8	4/4	2	2	1/8	1/8	1		7	49	C#3	3	151
10	10	71/2	0.5		7/8	7/8	4/4	1	1	1/8	1/8	1		6	66	F#4	4	140
11	11	36	1.0		0	0	4/4	2	2	1/4	1/4	1		9	51	D#3	3	163
11	11	36	1.5		0	0	4/4	1	1	3/8	1/4	3/2		5	71	B4	4	152
11	11	37	1.0		1/4	1/4	4/4	2	2	1/4	1/4	1		5	47	B2	2	164
11	11	37	0.5		1/4	1/4	4/4	2	1	1/8	1/8	1		9	63	D#4	4	159
11	11	37	1.0		1/4	1/4	4/4	1	2	1/4	1/4	1	1	6	66	F#4	4	156
11	11	75/2	0.5		3/8	3/8	4/4	2	1	1/8	1/8	1		9	63	D#4	4	160
11	11	75/2	0.5		3/8	3/8	4/4	1	1	1/8	1/8	1		3	69	A4	4	153
11	11	38	0.5		1/2	1/2	4/4	2	2	1/8	1/8	1		4	52	E3	3	165
11	11	38	1.0		1/2	1/2	4/4	2	1	1/4	1/4	1		5	59	B3	3	161
11	11	38	1.0		1/2	1/2	4/4	1	2	1/4	1/4	1	-1	6	66	F#4	4	157
11	11	38	1.0		1/2	1/2	4/4	1	1	1/4	1/4	1		8	68	G#4	4	154
11	11	77/2	0.5		5/8	5/8	4/4	2	2	1/8	1/8	1		9	51	D#3	3	166
11	11	39	0.5		3/4	3/4	4/4	2	2	1/8	1/8	1		7	49	C#3	3	167
11	11	39	1.0		3/4	3/4	4/4	2	1	1/4	1/4	1		7	61	C#4	4	162
11	11	39	1.0		3/4	3/4	4/4	1	2	1/4	1/4	1		4	64	E4	4	158
11	11	39	1.0		3/4	3/4	4/4	1	1	1/4	1/4	1		7	73	C#5	5	155
11	11	79/2	0.5		7/8	7/8	4/4	2	2	1/8	1/8	1		5	47	B2	2	168
12	12	40	0.5		0	0	4/4	2	2	1/8	1/8	1		3	45	A2	2	179
12	12	40	1.0		0	0	4/4	2	1	1/4	1/4	1		9	63	D#4	4	176
12	12	40	0.5		0	0	4/4	1	2	1/8	1/8	1		6	66	F#4	4	172
12	12	40	1.0		0	0	4/4	1	1	1/4	1/4	1		12	72	B#4	4	169
12	12	81/2	0.5		1/8	1/8	4/4	2	2	1/8	1/8	1		8	44	G#2	2	180
12	12	81/2	0.5		1/8	1/8	4/4	1	2	1/8	1/8	1		8	68	G#4	4	173
12	12	41	1.0		1/4	1/4	4/4	2	2	1/4	1/4	1		1	43	G2	2	181
12	12	41	1.0		1/4	1/4	4/4	2	1	1/4	1/4	1		4	64	E4	4	177
12	12	41	1.0		1/4	1/4	4/4	1	2	1/4	1/4	1		10	70	A#4	4	174
12	12	41	2.0		1/4	1/4	4/4	1	1	1/2	1/2	1		7	73	C#5	5	170
12	12	42	2.0		1/2	1/2	4/4	2	2	1/2	1/2	1		8	44	G#2	2	182
12	12	42	2.0		1/2	1/2	4/4	2	1	1/2	1/2	1		9	63	D#4	4	178
12	12	42	2.0		1/2	1/2	4/4	1	2	1/2	1/2	1		8	68	G#4	4	175
12	12	43	1.0		3/4	3/4	4/4	1	1	1/4	1/4	1		12	72	B#4	4	171
13	13	44	2.0		0	0	4/4	2	2	1/2	1/2	1		7	49	C#3	3	195
13	13	44	1.0		0	0	4/4	2	1	1/4	1/4	1		4	64	E4	4	190
13	13	44	1.0		0	0	4/4	1	2	1/4	1/4	1		8	68	G#4	4	186
13	13	44	2.0		0	0	4/4	1	1	1/2	1/2	1		7	73	C#5	5	183
13	13	45	0.5		1/4	1/4	4/4	2	1	1/8	1/8	1		4	64	E4	4	191
13	13	45	0.5		1/4	1/4	4/4	1	2	1/8	1/8	1		8	68	G#4	4	187
13	13	91/2	0.5		3/8	3/8	4/4	2	1	1/8	1/8	1		12	60	B#3	3	192
13	13	91/2	0.5		3/8	3/8	4/4	1	2	1/8	1/8	1		9	63	D#4	4	188
13	13	46	1.5		1/2	1/2	4/4	2	1	3/8	1/4	3/2		7	61	C#4	4	193
13	13	46	2.0		1/2	1/2	4/4	1	2	1/2	1/2	1	1	4	64	E4	4	189
13	13	47	0.5		3/4	3/4	4/4	2	2	1/8	1/8	1		7	61	C#4	4	196
13	13	47	0.5		3/4	3/4	4/4	1	1	1/8	1/8	1		4	76	E5	5	184
13	13	95/2	0.5		7/8	7/8	4/4	2	2	1/8	1/8	1		8	56	G#3	3	197
13	13	95/2	0.5		7/8	7/8	4/4	2	1	1/8	1/8	1		2	62	D4	4	194
13	13	95/2	0.5		7/8	7/8	4/4	1	1	1/8	1/8	1		5	71	B4	4	185
14	14	48	0.5		0	0	4/4	2	2	1/8	1/8	1		3	57	A3	3	210
14	14	48	2.0		0	0	4/4	2	1	1/2	1/2	1		7	61	C#4	4	208
14	14	48	1.0		0	0	4/4	1	2	1/4	1/4	1	-1	4	64	E4	4	203
14	14	48	1.0		0	0	4/4	1	1	1/4	1/4	1		7	73	C#5	5	198
14	14	97/2	0.5		1/8	1/8	4/4	2	2	1/8	1/8	1		5	59	B3	3	211
14	14	49	1.0		1/4	1/4	4/4	2	2	1/4	1/4	1		7	61	C#4	4	212
14	14	49	1.0		1/4	1/4	4/4	1	2	1/4	1/4	1		4	64	E4	4	204
14	14	49	0.5		1/4	1/4	4/4	1	1	1/8	1/8	1		8	68	G#4	4	199
14	14	99/2	0.5		3/8	3/8	4/4	1	1	1/8	1/8	1		3	69	A4	4	200
14	14	50	1.0		1/2	1/2	4/4	2	2	1/4	1/4	1		8	56	G#3	3	213
14	14	50	2.0		1/2	1/2	4/4	2	1	1/2	1/2	1	1	5	59	B3	3	209
14	14	50	0.5		1/2	1/2	4/4	1	2	1/8	1/8	1		9	63	D#4	4	205
14	14	50	1.5		1/2	1/2	4/4	1	1	3/8	1/4	3/2		5	71	B4	4	201
14	14	101/2	0.5		5/8	5/8	4/4	1	2	1/8	1/8	1		4	64	E4	4	206
14	14	51	1.0		3/4	3/4	4/4	2	2	1/4	1/4	1		9	51	D#3	3	214
14	14	51	1.0		3/4	3/4	4/4	1	2	1/4	1/4	1	1	6	66	F#4	4	207
14	14	103/2	0.5		7/8	7/8	4/4	1	1	1/8	1/8	1		3	69	A4	4	202
15	15	52	1.0		0	0	4/4	2	2	1/4	1/4	1		4	52	E3	3	230
15	15	52	1.0		0	0	4/4	2	1	1/4	1/4	1	-1	5	59	B3	3	226
15	15	52	0.5		0	0	4/4	1	2	1/8	1/8	1	-1	6	66	F#4	4	220
15	15	52	1.0		0	0	4/4	1	1	1/4	1/4	1		8	68	G#4	4	215
15	15	105/2	0.5		1/8	1/8	4/4	1	2	1/8	1/8	1		4	64	E4	4	221
15	15	53	1.0		1/4	1/4	4/4	2	2	1/4	1/4	1	1	3	45	A2	2	231
15	15	53	1.0		1/4	1/4	4/4	2	1	1/4	1/4	1		12	60	B#3	3	227
15	15	53	0.5		1/4	1/4	4/4	1	2	1/8	1/8	1		9	63	D#4	4	222
15	15	53	0.5		1/4	1/4	4/4	1	1	1/8	1/8	1		6	66	F#4	4	216
15	15	107/2	0.5		3/8	3/8	4/4	1	1	1/8	1/8	1		4	64	E4	4	217
15	15	107/2	0.5		3/8	3/8	4/4	1	2	1/8	1/8	1		4	64	E4	4	223
15	15	54	1.0		1/2	1/2	4/4	2	2	1/4	1/4	1	-1	3	45	A2	2	232
15	15	54	1.0		1/2	1/2	4/4	2	1	1/4	1/4	1		6	54	F#3	3	228
15	15	54	1.0		1/2	1/2	4/4	1	2	1/4	1/4	1		5	59	B3	3	224
15	15	54	1.0		1/2	1/2	4/4	1	1	1/4	1/4	1		9	63	D#4	4	218
15	15	55	1.0		3/4	3/4	4/4	2	2	1/4	1/4	1		10	46	A#2	2	233
15	15	55	1.0		3/4	3/4	4/4	2	1	1/4	1/4	1		1	55	G3	3	229
15	15	55	1.0		3/4	3/4	4/4	1	2	1/4	1/4	1		7	61	C#4	4	225
15	15	55	1.0		3/4	3/4	4/4	1	1	1/4	1/4	1	1	4	64	E4	4	219
16	16	56	2.0		0	0	4/4	2	2	1/2	1/2	1		5	47	B2	2	243
16	16	56	0.5		0	0	4/4	2	1	1/8	1/8	1		6	54	F#3	3	239
16	16	56	2.0		0	0	4/4	1	2	1/2	1/2	1		5	59	B3	3	237
16	16	56	1.0		0	0	4/4	1	1	1/4	1/4	1	-1	4	64	E4	4	234
16	16	113/2	0.5		1/8	1/8	4/4	2	1	1/8	1/8	1		4	52	E3	3	240
16	16	57	1.0		1/4	1/4	4/4	2	1	1/4	1/4	1		6	54	F#3	3	241
16	16	57	1.0		1/4	1/4	4/4	1	1	1/4	1/4	1		9	63	D#4	4	235
16	16	58	2.0		1/2	1/2	4/4	2	2	1/2	1/2	1		4	40	E2	2	244
16	16	58	2.0		1/2	1/2	4/4	2	1	1/2	1/2	1		8	56	G#3	3	242
16	16	58	2.0		1/2	1/2	4/4	1	2	1/2	1/2	1		5	59	B3	3	238
16	16	58	2.0		1/2	1/2	4/4	1	1	1/2	1/2	1		4	64	E4	4	236
