Riemenschneider,krn_title,krn_file,ms_file,dcml_file,bwv,BWV,D,B,CPE,R,Text,Text Author,Tune,Tune Composer,Zahn,Liturgical Occasion,Other Settings (BWV)
62,Wer nur den lieben Gott läßt walten,chor062.krn,062/short_score.mxl,,197.10,197.10,,66,66,62,Wer nur den lieben Gott lässt walten (7),"Neumark, Georg",Wer nur den lieben Gott lässt walten,"Neumark, Georg",2778,Wedding,"6 (84.5, 88.7, 93.7, 166.6, 179.6, 434)"
63,Nun ruhen alle Wälder,chor063.krn,063/short_score.mxl,,245.11,245.11,138,62,62,63,"O Welt, sieh hier dein Leben (3,4)","Gerhardt, Paul","O Welt, ich muss dich lassen",Anonymous,2293b,Good Friday,"9 (13.6, 44.7, 97.9, 244.10, 244.37, 392, 393, 394, 395)"
64,"Freu dich sehr, o meine Seele",chor064.krn,064/short_score.mxl,,194.6,194.06,18,63 =256,63,64 =256,"Treuer Gott, ich muss dir klagen (6)","Heermann, Johann","Freu dich sehr, o meine Seele",Geneva 1551*,6543,Dedication of Church and Organ,"6 (19.7, 25.6, 30.6, 32.6, 39.7, 70.7)"
65,"Was Gott tut, das ist wohlgetan",chor065.krn,065/short_score.mxl,,144.3,144.3,43,64,64,65,"Was Gott tut, das ist wohlgetan (1)","Rodigast, Samuel","Was Gott tut, das ist wohlgetan","Gastorius, Severus",5629,Septuagesima,"6 (12.7, 69a.6, 75.7=75.14, 99.6, 100.6, 250)"
66,"Christ, unser Herr zum Jordan kam",chor066.krn,066/short_score.mxl,,280,280,,65,65,66,Christ unser Herr zum Jordan kam,"Luther, Martin",Christ unser Herr zum Jordan kam,"Walter, Johann?",7246,Unknown,"2 (7.7, 176.6)"
67,"Freu dich sehr, o meine Seele",chor067.krn,067/short_score.mxl,,39.7,39.7,116,67,67,67,"Kommt, lasst euch den Herren lehren (6)","Denicke, David","Freu dich sehr, o meine Seele",Geneva 1551*,6543,1st Sunday after Trinity,"6 (19.7, 25.6, 30.6, 32.6, 70.7, 194.6)"
68,Wenn wir in höchsten Nöten sein,chor068.krn,068/short_score.mxl,,431,431,,68,68,68,Wenn wir in höchsten Nöten sein,"Eber, Paul",Wenn wir in höchsten Nöten sein,"Franc, Guillaume*",394,Unknown,1 (432)
69,"Komm, heiliger Geist, Herre Gott",chor069.krn,069/short_score.mxl,,226.2,226.2,16,69,69,69,"Komm, Heiliger Geist, Herre Gott (3)","Luther, Martin","Komm, Heiliger Geist, Herre Gott",Erfurt 1524,7445a,Funeral,"2 (59.3, 175.7)"
70,Gott sei gelobet und gebenedeiet,chor070.krn,070/short_score.mxl,,322,322,,70,70,70,Gott sei gelobet und gebenedeiet,Medingen c.1350,Gott sei gelobet und gebenedeiet,Wittenberg 1524*,8078,Unknown,0
71,"Ich ruf zu dir, Herr Jesu Christ",chor071.krn,071/short_score.mxl,,177.5,177.5,67,71,71,71,"Ich ruf zu dir, Herr Jesu Christ (5)","Agricola, Johann","Ich ruf zu dir, Herr Jesu Christ",Wittenberg 1529,7400,4th Sunday after Trinity,"2 (185.6, 1124)"
