Riemenschneider,krn_title,krn_file,ms_file,dcml_file,bwv,BWV,D,B,CPE,R,Text,Text Author,Tune,Tune Composer,Zahn,Liturgical Occasion,Other Settings (BWV)
132,Kyrie! Gott Vater in Ewigkeit,chor132.krn,132/short_score.mxl,,371,371,,132,132,132,"Kyrie, Gott Vater in Ewigkeit",Naumburg 1537/38 (trans. of Kyrie),"Kyrie, Gott Vater in Ewigkeit",Naumburg 1537/38,8600,Unknown,0
133,Wir glauben all an einen Gott,chor133.krn,133/short_score.mxl,,437,437,,133,133,133,Wir glauben all an einen Gott,"Luther, Martin",Wir glauben all an einen Gott,Wittenberg 1524*,7971,Unknown,0
134,"Du, o schönes Weltgebäude",chor134.krn,134/short_score.mxl,,301,301,,137,137,134,"Du, o schönes Weltgebäude","Franck, Johann",Du geballtes Weltgebäude,"Crüger, Johann",6773,Unknown,1 (56.5)
135,Gott der Vater wohn uns bei,chor135.krn,135/short_score.mxl,,317,317,,134,134,135,Gott der Vater wohn uns bei,"Luther, Martin",Gott der Vater wohn uns bei,Wittenberg 1524*,8507,Unknown,0
136,"Herr Jesu Christ, dich zu uns wend",chor136.krn,136/short_score.mxl,,332,332,,136,136,136,"Herr, Jesu Christ, dich zu uns wend",Wilhelm II Duke of Sachsen–Weimar,"Herr, Jesu Christ, dich zu uns wend",Gochsheim/Redwitz 1628,625,Unknown,0
137,"Wer Gott vertraut, hat wohl gebaut",chor137.krn,137/short_score.mxl,,433,433,,135,135,137,"Wer Gott vertraut, hat wohl gebaut","Magdeburg, Joachim","Wer Gott vertraut, hat wohl gebaut","Magdeburg, Joachim",8207,Unknown,0
138,"Jesu, meine Freude",chor138.krn,138/short_score.mxl,,64.8,64.8,12,138,138,138,"Jesu, meine Freude (5)","Franck, Johann","Jesu, meine Freude","Crüger, Johann",8032,3rd Day of Christmas,"6 (81.7, 87.7, 227.1=227.11, 227.3, 227.7, 358)"
139,Warum sollt ich mich denn grämen,chor139.krn,139/short_score.mxl,,248.33,248.33,125,139,139,139,Fröhlich soll mein Herze springen (15),"Gerhardt, Paul",Warum sollt ich mich denn grämen,"Ebeling, Johann Georg",6461,3rd Day of Christmas,1 (422)
140,In allen meinen Taten,chor140.krn,140/short_score.mxl,,367,367,,140,140,140,In allen meinen Taten,"Fleming, Paul",In allen meinen Taten,Leipzig 1679,2276,Unknown,0
141,Seelenbräutigam,chor141.krn,141/short_score.mxl,,409,409,,141,141,141,"Seelenbräutigam, Jesu, Gottes Lamm","Drese, Adam","Seelenbräutigam, Jesu, Gottes Lamm","Drese, Adam",3255,Unknown,0
142,Schwing dich auf zu deinem Gott,chor142.krn,142/short_score.mxl,,40.6,40.6,,142,142,142,Schwing dich auf zu deinem Gott (2),"Gerhardt, Paul",Eine Hoffnung stehe feste,Bremen 1680,4870,2nd Day of Christmas,0
143,In dulci jubilo,chor143.krn,143/short_score.mxl,,368,368,,143,143,143,In dulci jubilo,Anonymous,In dulci jubilo,Wittenberg 1535,4947,Unknown,0
144,Wer in dem Schutz des Höchsten ist,chor144.krn,144/short_score.mxl,,339,339,,144 =317,144,144 =318,"Herr, wie du willst, so schicks mit mir","Bienemann, Kaspar",Aus tiefer Not schrei ich zu dir (melody #2),"Dachstein, Wolfgang",4438,Unknown,1 (156.6)
145,"Warum betrübst du dich, mein Herz",chor145.krn,145/short_score.mxl,,420,420,,145,145,145,"Warum betrübst du dich, mein Herz",Anonymous,"Warum betrübst du dich, mein Herz",Frankfurt/Main 1557,1689,Unknown,"2 (47.5, 421)"
146,Wer nur den lieben Gott laßt walten,chor146.krn,146/short_score.mxl,,434,434,47,146,146,146,Wer nur den lieben Gott lässt walten,"Neumark, Georg",Wer nur den lieben Gott lässt walten,"Neumark, Georg",2778,Unknown,"6 (84.5, 88.7, 93.7, 166.6, 179.6, 197.10)"
147,Wenn ich in Angst und Not,chor147.krn,147/short_score.mxl,,427,427,,147,147,147,Wenn ich in Angst und Not,"Löwenstern, Matthäus Apelles von",Wenn ich in Angst und Not,"Löwenstern, Matthäus Apelles von",4233,Unknown,0
148,Uns ist ein Kindlein heut geborn,chor148.krn,148/short_score.mxl,,414,414,,148,148,148,Uns ist ein Kindlein heut geborn,Anonymous,Danket dem Herrn heut und allzeit,Leipzig 1589,439,Unknown,1 (253)
149,"Nicht so traurig, nicht so sehr",chor149.krn,149/short_score.mxl,,384,384,,149,149,149,"Nicht so traurig, nicht so sehr","Gerhardt, Paul","Nicht so traurig, nicht so sehr","Bach, J.S.?",3355,Unknown,0
150,"Welt ade, ich bin dein müde",,150/short_score.mxl,,27.6,27.6,,150,150,150,"Welt, ade! Ich bin dein müde (1)","Albinus, Johann Georg","Welt, ade! Ich bin dein müde","Albinus, Johann Georg",6531,16th Sunday after Trinity,0
151,"Meinen Jesum laß ich nicht, Jesus",chor151.krn,151/short_score.mxl,,379,379,,151,151,151,Meinen Jesum lass ich nicht,"Keymann, Christian",Jesus ist mein Aufenthalt,Lüneburg 1686,3448a,Unknown,0
152,"Meinen Jesum laß ich nicht, weil",chor152.krn,152/short_score.mxl,,154.8,154.8,129,152,152,152,Meinen Jesum lass ich nicht (6),"Keymann, Christian",Meinen Jesum lass ich nicht,"Hammerschmidt, Andreas",3449,1st Sunday after Epiphany,"5 (70.11, 124.6, 157.5, 244b.29, 380)"
153,Alle Menschen müssen sterben,chor153.krn,153/short_score.mxl,,262,262,,153,153,153,Alle Menschen müssen sterben,"Albinus, Johann Georg or Johann Rosenmüller",Alle Menschen müssen sterben,"Hintze, Jakob",6778,Unknown,0
154,Der du bist drei in Einigkeit,chor154.krn,154/short_score.mxl,,293,293,,154,154,154,Der du bist drei in Einigkeit,"Luther, Martin",Der du bist drei in Einigkeit,"Schein, Johann Hermann*",335,Unknown,0
155,"Hilf, Herr Jesu, laß gelingen",chor155.krn,155/short_score.mxl,,344,344,,155,155,155,"Hilf, Herr Jesu, lass gelingen","Rist, Johann","Hilf, Herr Jesu, lass gelingen (melody #1)","Schop, Johann",3687,Unknown,0
156,"Ach Gott, wie manches Herzeleid",chor156.krn,156/short_score.mxl,,3.6,3.6,28,156 =307,156,156 =308,"Ach Gott, wie manches Herzeleid (18)","Moller, Martin","Herr Jesu Christ, meins Lebens Licht (melody #2)",Leipzig 1625,533a,2nd Sunday after Epiphany,1 (153.9)
157,Wo Gott zum Haus nicht gibt sein' Gunst,chor157.krn,157/short_score.mxl,,438,438,,157,157,157,Wo Gott zum Haus nicht gibt sein Gunst,"Kolros, Johann",Wo Gott zum Haus nicht gibt sein Gunst,Wittenberg 1533,305,Unknown,1 (1123)
158,"Der Tag, der ist so freudenreich",chor158.krn,158/short_score.mxl,,294,294,,158,158,158,"Der Tag, der ist so freudenreich",Anonymous,"Der Tag, der ist so freudenreich",Wittenberg 1529*,7869f,Unknown,0
159,Als der gütige Gott,chor159.krn,159/short_score.mxl,,264,264,,159,159,159,Als der gütige Gott,"Weisse, Michael",Als der gütige Gott,"Crüger, Johann",1646,Unknown,0
160,"Gelobet seist du, Jesu Christ",chor160.krn,160/short_score.mxl,,64.2,64.2,13,160,160,160,"Gelobet seist du, Jesu Christ (7)","Luther, Martin","Gelobet seist du, Jesu Christ",Wittenberg 1524*,1947,3rd Day of Christmas,"3 (91.6, 248.28, 314)"
161,"Ihr Gestirn, ihr hohen Lüfte",chor161.krn,161/short_score.mxl,,366,366,,161,161,161,"Ihr Gestirn, ihr hohlen Lüfte","Franck, Johann","Ihr Gestirn, ihr hohlen Lüfte","Peter, Christoph",3703,Unknown,0
162,Das alte Jahr vergangen ist,chor162.krn,162/short_score.mxl,,288,288,5,162,162,162,Das alte Jahr vergangen ist,Erfurt 1568,Das alte Jahr vergangen ist,"Steuerlein, Johann",381c,Unknown,1 (289)
163,Für Freuden laßt uns springen,chor163.krn,163/short_score.mxl,,313,313,,163,163,163,Vor Freuden lasst uns springen,"Peltsch, Kaspar",Vor Freuden lasst uns springen,Anonymous,2339,Unknown,0
164,"Herr Gott, dich loben alle wir",chor164.krn,164/short_score.mxl,,326,326,,167,167,164,"Herr Gott, dich loben alle wir","Eber, Paul","Herr Gott, dich loben alle wir",Geneva 1551*,368,Unknown,"2 (130.6, 327)"
165,"O Lamm Gottes, unschuldig",chor165.krn,165/short_score.mxl,,401,401,,165,165,165,"O Lamm Gottes, unschuldig","Decius, Nikolaus","O Lamm Gottes, unschuldig","Decius, Nikolaus",4361,Unknown,0
166,Es stehn vor Gottes Throne,chor166.krn,166/short_score.mxl,,309,309,,166,166,166,Es stehn vor Gottes Throne,"Helmbold, Ludwig",Es stehn vor Gottes Throne,"Burck, Joachim a",4296,Unknown,0
167,Du großer Schmerzensmann,chor167.krn,167/short_score.mxl,,300,300,,164,164,167,Du großer Schmerzensmann,"Thebesius, Adam",Du großer Schmerzensmann,"Jan, Martin",5159,Unknown,0
168,"Heut ist, o Mensch, ein großer Trauertag",chor168.krn,168/short_score.mxl,,341,341,,168,168,168,"Heut ist, o Mensch, ein großer Trauertag","Löwenstern, Matthäus Apelles von","Heut ist, o Mensch, ein großer Trauertag","Löwenstern, Matthäus Apelles von",8569a,Unknown,0
169,"Jesu, der du selbsten wohl",chor169.krn,169/short_score.mxl,,355,355,,169,169,169,"Jesu, der du selbsten wohl","Bapzien, Michael","Jesu, der du selbsten wohl",Breslau 1668,6335,Unknown,0
170,"Nun komm, der Heiden Heiland",chor170.krn,170/short_score.mxl,,62.6,62.6,96,170,170,170,"Nun komm, der Heiden Heiland (8)","Luther, Martin","Nun komm, der Heiden Heiland",Erfurt 1524*,1174,1st Sunday after Advent,1 (36.8)
171,"Schaut, ihr Sünder",chor171.krn,171/short_score.mxl,,408,408,,171,171,171,"Schaut, ihr Sünder","Löwenstern, Matthäus Apelles von","Heut ist, o Mensch, ein großer Trauertag","Löwenstern, Matthäus Apelles von",8569,Unknown,0
172,"Sei gegrüßet, Jesu gütig",chor172.krn,172/short_score.mxl,,410,410,,172,172,172,"Sei gegrüßet, Jesu gütig","Keymann, Christian","Sei gegrüßet, Jesu gütig",Leipzig 1682,3889,Unknown,0
173,"O Herzensangst, o Bangigkeit",chor173.krn,173/short_score.mxl,,400,400,,173,173,173,"O Herzensangst, o Bangigkeit","Königsberg, Fr. D. Gerh. Müller von","O Herzensangst, o Bangigkeit","Bach, J.S.?",1003,Unknown,0
174,"Jesus Christus, unser Heiland",chor174.krn,174/short_score.mxl,,364,364,,174,174,174,"Jesus Christus, unser Heiland, der den Tod überwand","Luther, Martin","Jesus Christus, unser Heiland, der den Tod überwand","Luther, Martin",1978,Unknown,0
175,"Jesus, meine Zuversicht",chor175.krn,175/short_score.mxl,,365,365,,175,175,175,"Jesus, meine Zuversicht",Berlin 1653,"Jesus, meine Zuversicht",Berlin 1653,3432,Unknown,1 (145a)
176,Erstanden ist der heil'ge Christ,chor176.krn,176/short_score.mxl,,306,306,,176,176,176,Erstanden ist der heilge Christ,Anonymous,Erstanden ist der heilge Christ,Bohemian Brethren 1501/1531*,1746,Unknown,0
177,"Ach bleib bei uns, Herr Jesu Christ",chor177.krn,177/short_score.mxl,,253,253,,177,177,177,"Ach bleib bei uns, Herr Jesu Christ","Selnecker, Nikolaus","Danket dem Herrn, heut und allzeit",Leipzig 1589,439,Unknown,1 (414)
178,Das neugeborne Kindelein,chor178.krn,178/short_score.mxl,,122.6,(122.6),(55),178 =52,178,178 =53,Das neugeborne Kindelein (4),"Schneegaß, Cyriakus",Das neugeborne Kindelein,"Vulpius, Melchior",491,1st Sunday after Christmas,0
179,"Wachet auf, ruft uns die Stimme",chor179.krn,179/short_score.mxl,,140.7,140.7,17,179,179,179,"Wachet auf, ruft uns die Stimme (3)","Nicolai, Philipp","Wachet auf, ruft uns die Stimme","Nicolai, Philipp*",8405,27th Sunday after Trinity,0
180,Als Jesus Christus in der Nacht,chor180.krn,180/short_score.mxl,,265,265,,180,180,180,Als Jesu Christus in der Nacht,"Heermann, Johann",Als Jesu Christus in der Nacht,"Crüger, Johann",258,Unknown,0
181,Gott hat das Evangelium,chor181.krn,181/short_score.mxl,,319,319,,181,181,181,Gott hat das Evangelium,"Alber, Erasmus",Gott hat das Evangelium,"Alber, Erasmus",1788,Unknown,0
182,Wär Gott nicht mit uns diese Zeit,chor182.krn,182/short_score.mxl,,14.5,14.5,128,182,182,182,Wär Gott nicht mit uns diese Zeit (3),"Luther, Martin",Wär Gott nicht mit uns diese Zeit,Wittenberg 1524,4434,4th Sunday after Epiphany,0
183,"Nun freut euch, lieben Christen g'mein",chor183.krn,183/short_score.mxl,,388,388,,183,183,183,"Nun freut euch, lieben Christen gmein","Luther, Martin","Nun freut euch, lieben Christen gmein (melody #1)",Nürnberg 1524*,4427,Unknown,0
184,Christ lag in Todesbanden,chor184.krn,184/short_score.mxl,,4.8,4.8,,184,184,184,Christ lag in Todesbanden (7),"Luther, Martin",Christ lag in Todesbanden,"Luther, Martin*",7012a,Easter Sunday,"4 (158.4, 277, 278, 279)"
185,"Nun freut euch, Gottes Kinder all",chor185.krn,185/short_score.mxl,,387,387,,185,185,185,"Nun freut euch, Gottes Kinder all","Alber, Erasmus","Ihr lieben Christen, freut euch nun",Wittenberg 1546,364,Unknown,0
186,"Ach Gott, erhör mein Seufzen",chor186.krn,186/short_score.mxl,,254,254,,186,186,186,"Ach Gott, erhör mein Seufzen und Wehklagen","Schechs, Jakob Peter","Ach Gott, erhör mein Seufzen und Wehklagen",Frankfurt/Main 1662,1831a,Unknown,0
187,"Komm, Gott Schöpfer, heiliger Geist",chor187.krn,187/short_score.mxl,,370,370,,187,187,187,"Komm, Gott Schöpfer, heiliger Geist","Luther, Martin","Komm, Gott Schöpfer, heiliger Geist","Luther, Martin*",295,Unknown,0
188,Ich dank dir schön durch deinen Sohn,chor188.krn,188/short_score.mxl,,349,349,,188,188,188,Ich dank dir schon deinen Sohn,Leipzig 1586,"Ach Herre Gott, mich treibt die Not","Praetorius, Michael*",247,Unknown,0
189,"Herr Jesu Christ, wahr Mensch und Gott",chor189.krn,189/short_score.mxl,,336,336,,189,189,189,"Herr Jesu Christ, wahr Mensch und Gott","Eber, Paul","Herr Jesu Christ, wahr Mensch und Gott","Eccard, Johannes",423,Unknown,0
190,"Herr, nun laß Freide",chor190.krn,190/short_score.mxl,,337,337,,190,190,190,"Herr, nun lass in Friede","Behme, David","Herr, nun lass in Friede",Bohemian Brethren 1694,3302,Unknown,0
191,Von Gott will ich nicht lassen,chor191.krn,191/short_score.mxl,,73.5,73.5,,191,191,191,Von Gott will ich nicht lassen (9),"Helmbold, Ludwig",Von Gott will ich nicht lassen,Erfurt 1563*,5264b,3rd Sunday after Epiphany,"4 (107.7, 417, 418, 419)"
192,"Gottlob, es geht nunmehr zu Ende",chor192.krn,192/short_score.mxl,,321,321,,192,192,192,"Gottlob, es geht nunmehr zum Ende","Wiese, Christian","Gottlob, es geht nunmehr zum Ende",Anonymous,2855,Unknown,0
193,"Was bist du doch, o Seele, so betrübet",chor193.krn,193/short_score.mxl,,424,424,,193,193,193,"Was bist du doch, o Seele so betrübet","Schultt, Rudolf Friedrich von","Was bist du doch, o Seele so betrübet",Anonymous,1837,Unknown,0
194,"Liebster Immanuel, Herzog der Frommen",chor194.krn,194/short_score.mxl,,123.6,123.6,,194,194,194,"Liebster Immanuel, Herzog der Frommen (6)","Fritsch, Ahasverus","Liebster Immanuel, Herzog der Frommen",Darmstadt 1698,4932c,Feast of Epiphany,0
195,Wie schön leuchtet der Morgenstern,chor195.krn,195/short_score.mxl,,36.4,(36.4),(33),195 =85 =304,195,195 =86 =305,Wie schön leuchtet der Morgenstern (6),"Nicolai, Philipp",Wie schön leuchtet der Morgenstern,"Nicolai, Philipp",8359,1st Sunday in Advent,"3 (1.6, 172.6, 436)"
196,Da der Herr Christ zu Tische saß,chor196.krn,196/short_score.mxl,,285,285,,196,196,196,Da der Herr Christ zu Tische saß,"Herman, Nikolaus",Da der Herr Christ zu Tische saß,Görlitz 1611,1560,Unknown,0
197,Christ ist erstanden,chor197.krn,197/short_score.mxl,,276,276,,197,197,197,Christ ist erstanden,Anonymous,Christ ist erstanden,Wittenberg 1533*,8584,Unknown,1 (66.6)
198,"Christus, der uns selig macht",chor198.krn,198/short_score.mxl,,283,283,,198 =306,198,198 =307,"Christus, der uns selig macht","Weisse, Michael","Christus, der uns selig macht",Leipzig c.1500,6285,Unknown,"3 (245.15, 245.37, 1084)"
199,"Hilf, Gott, laß mir's gelingen",chor199.krn,199/short_score.mxl,,343,343,,199 =301,199,199 =302,"Hilf, Gott, dass mirs gelinge","Müller, Heinrich","Hilf, Gott, dass mirs gelinge",Leipzig 1545,4329,Unknown,0
200,"Christus ist erstanden, hat überwunden",chor200.krn,200/short_score.mxl,,284,284,,200,200,200,"Christus ist erstanden, hat überwunden","Weisse, Michael","Christus ist erstanden, hat überwunden",Bohemian Brethren 1531,6240c,Unknown,0
201,"O Mensch, bewein dein' Sünde groß",chor201.krn,201/short_score.mxl,,402,402,,201 =305,201,201 =306,"O Mensch, bewein dein Sünde groß","Heyden, Sebald","Es sind doch selig alle, die im rechten Glauben wandeln","Greitter, Matthias",8303,Unknown,0
202,O wir armen Sünder,chor202.krn,202/short_score.mxl,,407,407,,202,202,202,O wir armen Sünder!,"Bonnus, Hermann",O wie armen Sünder!,Königsberg 1527*,8187,Unknown,0
203,"O Mensch, schau Jesum Christum an",chor203.krn,203/short_score.mxl,,403,403,,203,203,203,"O Mensch, schau Jesum Christum an","Specht, Daniel","O Mensch, schau Jesum Christum an","Titus, Peter",3994,Unknown,0
204,"Wer weiß, wie nahe mir mein Ende",chor204.krn,204/short_score.mxl,,166.6,166.6,,204,204,204,"Wer weiss, wie nahe mir mein Ende (1)","Schwarzburg–Rudolstadt, ämilie Juliane von",Wer nur den lieben Gott lässt walten,"Neumark, Georg",2778,Cantate (4th Sunday after Easter),"6 (84.5, 88.7, 93.7, 179.6, 197.10, 434)"
205,"Herr Gott, dich loben wir",chor205.krn,205/short_score.mxl,,328,328,,205,205,205,"Herr Gott, dich loben wir [German Te Deum]","Luther, Martin","Herr Gott, dich loben wir [The German Te Deum] [German Te Deum]","Luther, Martin*",8652,Unknown,"2 (119.9, 120.6)"
206,"So gibst du nun, mein Jesu, gute Nacht",chor206.krn,206/short_score.mxl,,412,412,,206,206,206,"So gibst du nun, mein Jesu, gute Nacht!","Pfeiffer, August","So gibst du nun, mein Jesu, gute Nacht!",Dresden 1694,849,Unknown,0
207,Des heil'gen Geistes reiche Gnad,chor207.krn,207/short_score.mxl,,295,295,,207,207,207,Des heilgen Geistes reiche Gnad,Leipzig 1582,Des heilgen Geistes reiche Gnad,"Schein, Johann Hermann*",3706,Unknown,0
208,Als vierzig Tag nach Ostern,chor208.krn,208/short_score.mxl,,266,266,,208,208,208,Als vierzig Tag nach Ostern warn,"Herman, Nikolaus",Als vierzig Tag nach Ostern warn,"Herman, Nikolaus",1743,Unknown,0
209,"Dir, dir, Jehova will ich singen",chor209.krn,209/short_score.mxl,,299,299,6,209,209,209,"Dir, dir, Jehova, will ich singen","Crasselius, Bartholomäus","Dir, dir, Jehova, will ich singen","Bach, J.S.",,Unknown,0
210,"Christe, du Beistand deiner Kreuzgemeinde",chor210.krn,210/short_score.mxl,,275,275,,210,210,210,"Christe, du Beistand","Löwenstern, Matthäus Apelles von","Christe, du Beistand","Löwenstern, Matthäus Apelles von",993,Unknown,0
211,Weltlich Ehr und zeitlich Gut,chor211.krn,211/short_score.mxl,,426,426,,211,211,211,Weltlich Ehr und zeitlich Gut,"Weisse, Michael",Weltlich Ehr und zeitlich Gut,"Triller, Valentin",4972,Unknown,0
212,"Herr, ich dank an jene Zeit",chor212.krn,212/short_score.mxl,,329,329,,212,212,212,"Herr, ich denk an jene Zeit","Mylius, Georg","Lob sei dir, gütiger Gott",Bohemian Brethren 1566,4840,Unknown,0
213,"O wie selig ihr doch, ihr Frommen",chor213.krn,213/short_score.mxl,,405,405,,213,213,213,"O wie selig seid ihr doch, ihr Frommen","Dach, Simon","O wie selig seid ihr doch, ihr Frommen","Crüger, Johann",1583,Unknown,0
214,Mitten wir im Leben sind,chor214.krn,214/short_score.mxl,,383,383,,214,214,214,Mitten wir im Leben sind,Salzburg 1456,Mitten wir im Leben sind,"Walter, Johann*",8502,Unknown,0
215,Verleih uns Frieden gnädiglich,chor215.krn,215/short_score.mxl,,126.6,126.6,,215,215,215,Verleih uns Frieden gnädiglich,"Luther, Martin",Verleih uns Frieden gnädiglich,Wittenberg 1529*,1945,Sexagesima,1 (42.7)
216,Es ist genug! so nimm Herr,chor216.krn,216/short_score.mxl,,60.5,60.5,46,216,216,216,Es ist genug (5),"Burmeister, Franz Joachim",Es ist genug,"Ahle, Johann Rudolph",7173,24th Sunday after Trinity,0
217,"Ach Gott, wie manches Herzeleid",chor217.krn,217/short_score.mxl,,153.9,153.9,,217,217,217,"Ach Gott, wie manches Herzeleid (16,17,18)","Moller, Martin","Herr Jesu Christ, meins Lebens Licht (melody #2)",Leipzig 1625,533a,Sunday after New Year,1 (3.6)
218,"Laß, o Herr, dein Ohr sich neigen",chor218.krn,218/short_score.mxl,,372,372,,218,218,218,"Lass, o Herr, dein Ohr sich neigen","Opitz, Martin","Lass, o Herr, dein Ohr sich neigen","Bourgeois, Louis",6863,Unknown,0
219,"O wie selig seid ihr doch, ihr Frommen",chor219.krn,219/short_score.mxl,,406,406,,219,219,219,"O wie selig seid ihr doch, ihr Frommen","Dach, Simon","Ach, wie groß ist Gottes Güt und Wohltat",Nürnberg 1561,1581,Unknown,0
220,Sollt ich meinem Gott nicht singen,chor220.krn,220/short_score.mxl,,413,413,,220,220,220,Sollt ich meinem Gott nicht singen,"Gerhardt, Paul",Lasset uns den Herren preisen,"Schop, Johann",7886,Unknown,0
221,"Herr, straf mich nicht in deinem Zorn",chor221.krn,221/short_score.mxl,,338,338,,221,221,221,"Herr, straf mich nicht in deinem Zorn (paraph. of Ps.38)",Anonymous,"Herr, straf mich nicht in deinem Zorn","Crüger, Johann",4606a,Unknown,0
222,Nun preiset alle Gottes Barmherzigkeit,chor222.krn,222/short_score.mxl,,391,391,,222,222,222,Nun preiset alle Gottes Barmherzigkeit,"Löwenstern, Matthäus Apelles von",Nun prieset alle Gottes Barmherzigkeit,"Löwenstern, Matthäus Apelles von",4089,Unknown,0
223,"Ich dank dir, Gott, für all Wohlat",chor223.krn,223/short_score.mxl,,346,346,,223,223,223,Ich dank dir Gott für all Wohltat,"Freder, Johann",Ich dank dir Gott für all Wohltat,Eisleben 1568,8090ab,Unknown,0
224,Das walt Gott Vater und Gott Sohn,chor224.krn,224/short_score.mxl,,290,290,,224,224,224,Das walt Gott Vater und Gott Sohn,"Behm, Martin",Das walt Gott Vater und Gott,Leipzig 1713,673,Unknown,0
225,"Gott, der du selber bist das Licht",chor225.krn,225/short_score.mxl,,316,316,,225,225,225,"Gott, der du selber bist das Licht","Rist, Johann","Gott, der du selber bist das Licht","Crüger, Johann",5814,Unknown,0
226,"Herr Jesu Christ, du hast bereit't",chor226.krn,226/short_score.mxl,,333,333,,226,226,226,"Herr Jesu Christ, du hast bereitt","Kinner, Samuel","Herr Jesu Christ, du hast bereitt",Anonymous,4711,Unknown,0
227,"Lobet den Herren, denn er ist freundlich",chor227.krn,227/short_score.mxl,,374,374,,227,227,227,"Lobet den Herren, denn er ist sehr freundlich",Dresden 1568,"Lobet den Herren, denn er ist sehr freundlich","Scandelli, Antonio",975,Unknown,0
228,"Danket dem Herren, denn er ist sehr freundlich",chor228.krn,228/short_score.mxl,,286,286,,228,228,228,Danket dem Herren,"Horn, Johann",Danket dem Herren,Nürnberg 1544*,12,Unknown,0
229,"Ich danke dir, o Gott, in deinem Throne",chor229.krn,229/short_score.mxl,,350,350,,229,229,229,"Ich danke dir, o Gott in deinem Throne","Fabricius, Jakob",Mein Hüter und mein Hirt ist Gott der Herre,"Bourgeois, Louis",3199,Unknown,0
230,"Christ, der du bist der helle Tag",chor230.krn,230/short_score.mxl,,273,273,,230,230,230,"Christ, der du bist der helle Tag","Alber, Erasmus","Christ, der du bist der helle Tag",Eisleben 1568,384,Unknown,0
231,Die Nacht ist kommen,chor231.krn,231/short_score.mxl,,296,296,,231,231,231,Die Nacht ist kommen,"Herbert, Petrus",Die Nacht ist kommen,Bohemian Brethren 1566*,5001,Unknown,0
232,Die Sonn hat sich mit ihrem Glanz,chor232.krn,232/short_score.mxl,,297,297,,232,232,232,Die Sinn hat sich mit ihrem Glanz,"Stegmann, Joshua","O höchster Gott, o unser lieber Herre",Leipzig 1592*,923,Unknown,0
233,"Werde munter, mein Gemüte",chor233.krn,233/short_score.mxl,,154.3,154.3,127,233,233,233,"Jesu, meiner Seelen Wonne (2)","Jahn, Martin",Werde munter mein Gemüte,"Schop, Johann",6551,1st Sunday after Epiphany,"6 (55.5, 146.8, 147.6=147.10, 244.40, 359, 360)"
234,Gott lebet noch,chor234.krn,234/short_score.mxl,,320,320,,234,234,234,Gott lebet noch,"Zihn, Johann Friedrich",Gott lebet noch,Halle 1704,7951,Unknown,0
235,"Heilig, heilig",chor235.krn,235/short_score.mxl,,325,325,,235 =318,235,235 =319,"Heilig, heilig [German Sanctus]",German trans. of Sanctus,"Heilig, heilig",Steinau 1726*,8633,Unknown,0
236,"O Jesu, du mein Bräutigam",chor236.krn,236/short_score.mxl,,335,335,83,236 =294,236,236 =295,"Herr Jesu Christ, meins Lebens Licht (for B236)","Behm, Martin","Herr Jesu Christ, meins Lebens Licht (melody #1)",Anonymous,314,Unknown,0
237,"Was betrübst du dich, mein Herze",chor237.krn,237/short_score.mxl,,423,423,,237,237,237,"Was betrübst du dich, mein Herz","Hermann, Zacharias","Was betrübst du dich, mein Herz",Anonymous,6830,Unknown,0
238,Es wind schier der letzte Tag,chor238.krn,238/short_score.mxl,,310,310,,238,238,238,Es wird schier der letzte Tag herkommen,"Weisse, Michael",Es wird schier der letzte Tag herkommen,"Weisse, Michael",1423,Unknown,0
239,Den Veter dort oben,chor239.krn,239/short_score.mxl,,292,292,,239,239,239,Den Vater dort oben,"Weisse, Michael",Den Vater dort oben,"Weisse, Michael",4795,Unknown,0
240,Nun sich der Tag geendet hat,chor240.krn,240/short_score.mxl,,396,396,,240,240,240,Nun sich der Tag geendet hat,"Krieger, Adam",Nun sich der Tag geendet hat,"Krieger, Adam",212,Unknown,0
241,"Was willst du dich, o meine Seele",chor241.krn,241/short_score.mxl,,425,425,,241,241,241,"Was willst du dich, o meine Seele, kränken","Werder, Dietrich von dem","Was willst du dich, o meine Seele, kränken",Leipzig 1682,7844,Unknown,0
242,"Wie bist du, Seele, in mir so gar betrübt",chor242.krn,242/short_score.mxl,,435,435,,242,242,242,"Wie bist du, Seele, in mir so gar betrübt","Zeutschner, Tobias","Wie bist du, Seele, in mir so gar betrübt","Brunmann, Christian (pseudo. for Martin Hanke)",4092,Unknown,0
243,"Jesu, du mein liebstes Leben",chor243.krn,243/short_score.mxl,,356,356,,243,243,243,"Jesu, du mein liebstes Leben","Rist, Johann","Jesu, du mein liebstes Leben","Schop, Johann",7891,Unknown,0
244,"Jesu, Jesu, du bist mein",chor244.krn,244/short_score.mxl,,357,357,,244,244,244,"Jesu, Jesu, du bist mein",Anonymous,"Jesu, Jesu, du bist mein","Bach, J.S.?",6446,Unknown,0
245,"Christe, der du bist Tag und Licht",chor245.krn,245/short_score.mxl,,274,274,,245,245,245,"Christe, der du bist Tag und Licht",Wittenberg 1526,"Christe, der du bist Tag und Licht","Luther, Martin*",343,Unknown,0
246,Singt dem Herrn ein neues Lied,chor246.krn,246/short_score.mxl,,411,411,,246,246,246,Singt dem Herrn ein neues Lied,"Löwenstern, Matthäus Apelles von",Singt dem Herrn ein neues Lied,"Löwenstern, Matthäus Apelles von",6424,Unknown,0
