,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13
001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,24.0,57.5,63.0,26.0,19.5,40.5,20.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,18.75,34.0,39.75,37.0,22.5,30.0,16.5,4.0,2.5,0.0,0.0,0.0
003,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.5,18.75,7.0,14.25,29.5,37.5,23.0,7.0,0.5,12.0,4.0,0.0,0.0,0.0,0.0
004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.75,10.0,31.25,36.25,24.0,19.0,18.0,11.75,5.0,2.0,0.0,0.0
005,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.5,26.5,51.5,49.5,43.75,36.5,32.25,17.5,3.0,5.0,0.0,0.0,0.0,0.0,0.0
006,0.0,0.0,0.0,0.0,0.0,1.0,8.0,31.5,29.0,13.0,9.5,20.5,9.5,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,36.0,86.0,76.5,63.0,58.0,63.0,36.0,11.0,0.5,7.0,0.0,0.0
008,0.0,0.0,1.0,29.0,43.0,28.0,40.5,66.0,62.5,28.5,2.5,7.5,10.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,26.5,32.0,34.0,24.25,30.0,17.75,4.0,3.0,3.5,1.0,0.0,0.0,0.0
010,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.5,29.0,24.5,20.0,34.0,43.5,30.5,3.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0
011,0.0,0.0,0.0,0.0,0.0,0.0,11.5,41.0,74.5,83.0,64.0,56.0,62.0,34.5,7.0,7.0,3.0,0.5,0.0,0.0,0.0,0.0
012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,36.0,28.0,23.0,31.0,31.0,18.0,8.0,3.0,4.0,2.0,0.0,0.0,0.0,0.0
013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.5,39.25,32.0,30.5,46.75,47.75,24.75,4.0,4.5,7.5,0.5,0.0,0.0,0.0,0.0
014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.75,48.0,45.75,26.0,22.0,37.5,24.5,4.5,0.0,1.0,0.0,0.0,0.0,0.0
015,0.0,0.0,0.0,0.0,0.0,0.0,9.5,25.5,17.0,14.25,42.25,41.25,22.75,8.0,4.5,7.0,4.0,0.0,0.0,0.0,0.0,0.0
016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,14.0,33.5,29.0,33.5,37.0,53.5,36.5,7.5,3.0,18.5,0.0,0.0,0.0
017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,22.5,24.5,32.5,37.0,42.5,26.5,12.0,6.5,6.5,1.0,0.0,0.0,0.0
