mc	mn	quarterbeats	duration_qb	keysig	timesig	act_dur	mc_offset	numbering_offset	dont_count	barline	breaks	repeats	next
1	1	0	1.0	-1	3/4	1/4	1/2					firstMeasure	2
2	2	1	3.0	-1	3/4	3/4	0						3
3	3	4	3.0	-1	3/4	3/4	0						4
4	4	7	3.0	-1	3/4	3/4	0						5
5	5	10	3.0	-1	3/4	3/4	0				line		6
6	6	13	3.0	-1	3/4	3/4	0						7
7	7	16	3.0	-1	3/4	3/4	0						8
8	8	19	3.0	-1	3/4	3/4	0						9
9	9	22	2.0	-1	3/4	1/2	0					end	1, 10
10	10	24	1.0	-1	3/4	1/4	1/2						11
11	11	25	3.0	-1	3/4	3/4	0				line		12
12	12	28	3.0	-1	3/4	3/4	0						13
13	13	31	3.0	-1	3/4	3/4	0						14
14	14	34	3.0	-1	3/4	3/4	0						15
15	15	37	3.0	-1	3/4	3/4	0				line		16
16	16	40	3.0	-1	3/4	3/4	0						17
17	17	43	3.0	-1	3/4	3/4	0						18
18	18	46	3.0	-1	3/4	3/4	0						19
19	19	49	3.0	-1	3/4	3/4	0				line		20
20	20	52	3.0	-1	3/4	3/4	0						21
21	21	55	3.0	-1	3/4	3/4	0						22
22	22	58	3.0	-1	3/4	3/4	0						23
23	23	61	2.0	-1	3/4	1/2	0				line	lastMeasure	-1
