fname	TimeSig	KeySig	last_mc	last_mn	length_qb	last_mc_unfolded	last_mn_unfolded	length_qb_unfolded	volta_mcs	all_notes_qb	n_onsets	n_onset_positions	guitar_chord_count	form_label_count	label_count	composed_start	composed_end	composed_source	composer	workTitle	movementNumber	movementTitle	workNumber	poet	lyricist	arranger	copyright	creationDate	platform	source	translator	musescore	ms3_version	subdirectory	rel_path	has_drumset	ambitus	originalFormat	staff_1_instrument	staff_1_ambitus	staff_2_instrument	staff_2_ambitus
226 Herr Jesu Christ, du hast bereit'	1: 4/4	1: -2	12	12	40.0	17	17	56.0		160.0	212	82	0	0	0	1707	1748	http://bach-chorales.com/ChoralesByDate.htm										2021-11-22	Linux			4.0.2	1.2.10	MS3	MS3/226 Herr Jesu Christ, du hast bereit'.mscz	False	42-74 (F#2-D5)	cap	Sopran/Alt	55-74 (G3-D5)	Tenor/Baß	42-63 (F#2-Eb4)
227 Lobet den Herren, denn er ist sehr freundlich	1: 4/4	1: -1	20	20	76.0	20	20	76.0		284.0	321	122	0	0	0	1707	1748	http://bach-chorales.com/ChoralesByDate.htm										2021-11-22	Linux			4.0.2	1.2.10	MS3	MS3/227 Lobet den Herren, denn er ist sehr freundlich.mscz	False	38-74 (D2-D5)	cap	Sopran/Alt	55-74 (G3-D5)	Tenor/Baß	38-67 (D2-G4)
228 Danket dem Herren, denn er ist sehr freundlich	1: 4/4	1: 0	7	7	24.0	7	7	24.0		96.0	102	40	0	0	0	1707	1748	http://bach-chorales.com/ChoralesByDate.htm										2021-11-22	Linux			4.0.2	1.2.10	MS3	MS3/228 Danket dem Herren, denn er ist sehr freundlich.mscz	False	40-76 (E2-E5)	cap	Sopran/Alt	64-76 (E4-E5)	Tenor/Baß	40-65 (E2-F4)
229 Ich danke dir, o Gott, in deinem Throne	1: 4/4	1: -2	19	19	72.0	19	19	72.0		288.0	353	146	0	0	0	1707	1748	http://bach-chorales.com/ChoralesByDate.htm										2021-11-22	Linux			4.0.2	1.2.10	MS3	MS3/229 Ich danke dir, o Gott, in deinem Throne.mscz	False	41-74 (F2-D5)	cap	Sopran/Alt	57-74 (A3-D5)	Tenor/Baß	41-63 (F2-Eb4)
230 Christ, der du bist der helle Tag	1: 4/4	1: -2	11	11	40.0	11	11	40.0		160.0	207	76	0	0	0	1707	1748	http://bach-chorales.com/ChoralesByDate.htm										2021-11-22	Linux			4.0.2	1.2.10	MS3	MS3/230 Christ, der du bist der helle Tag.mscz	False	43-77 (G2-F5)	cap	Sopran/Alt	62-77 (D4-F5)	Tenor/Baß	43-67 (G2-G4)
231 Die Nacht ist kommen	1: 4/4	1: 0	15	15	57.0	15	15	57.0		208.0	190	64	0	0	0	1707	1748	http://bach-chorales.com/ChoralesByDate.htm										2021-11-22	Linux			4.0.2	1.2.10	MS3	MS3/231 Die Nacht ist kommen.mscz	False	38-74 (D2-D5)	cap	Sopran/Alt	59-74 (B3-D5)	Tenor/Baß	38-65 (D2-F4)
232 Die Sonn hat sich mit ihrem Glanz gewendet	1: 4/4	1: 0	12	12	45.0	12	12	45.0		180.0	205	74	0	0	0	1707	1748	http://bach-chorales.com/ChoralesByDate.htm										2021-11-22	Linux			4.0.2	1.2.10	MS3	MS3/232 Die Sonn hat sich mit ihrem Glanz gewendet.mscz	False	38-76 (D2-E5)	cap	Sopran/Alt	57-76 (A3-E5)	Tenor/Baß	38-65 (D2-F4)
233 Werde munter, mein Gemüte	1: 4/4	1: 3	12	12	48.0	16	16	64.0		192.0	202	70	0	0	0	1707	1748	http://bach-chorales.com/ChoralesByDate.htm										2021-11-22	Linux			4.0.2	1.2.10	MS3	MS3/233 Werde munter, mein Gemüte.mscz	False	45-78 (A2-F#5)	cap	Sopran/Alt	64-78 (E4-F#5)	Tenor/Baß	45-66 (A2-F#4)
234 Gott lebet noch	1: 3/4	1: -1	38	38	114.0	38	38	114.0		456.0	378	122	0	0	0	1707	1748	http://bach-chorales.com/ChoralesByDate.htm										2021-11-22	Linux			4.0.2	1.2.10	MS3	MS3/234 Gott lebet noch.mscz	False	41-77 (F2-F5)	cap	Sopran/Alt	57-77 (A3-F5)	Tenor/Baß	41-67 (F2-G4)
235 Heilig, heilig	1: 4/4	1: -1	17	17	68.0	17	17	68.0		264.0	287	111	0	0	0	1707	1748	http://bach-chorales.com/ChoralesByDate.htm										2021-11-22	Linux			4.0.2	1.2.10	MS3	MS3/235 Heilig, heilig.mscz	False	36-77 (C2-F5)	cap	Sopran/Alt	60-77 (C4-F5)	Tenor/Baß	36-65 (C2-F4)
